Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
21	0.046	0.058	0.038	0.024	0.058	0.033	0.099	0.067	0.001
22	0.008	0.023	0.023	0.026	0.024	0.008	0.038	0.048	0.058
23	0.068	0.023	0.009	0.034	0.005	0.018	0.010	0.021	0.079
24	0.038	0.066	0.053	0.056	0.025	0.048	0.022	0.031	0.029
25	0.083	0.022	0.025	0.027	0.055	0.008	0.016	0.021	0.047
26	0.006	0.024	0.005	0.018	0.025	0.007	0.027	0.073	0.008
27	0.042	0.003	0.050	0.006	0.010	0.008	0.037	0.002	0.028
28	0.009	0.004	0.018	0.013	0.028	0.055	0.029	0.040	0.010
29	0.006	0.051	0.023	0.000	0.022	0.027	0.003	0.021	0.018
30	0.000	0.017	0.004	0.003	0.004	0.005	0.029	0.006	0.024
31	0.095	0.022	0.007	0.010	0.037	0.030	0.037	0.047	0.018
32	0.055	0.021	0.021	0.017	0.020	0.039	0.015	0.037	0.030
33	0.013	0.030	0.008	0.004	0.013	0.056	0.009	0.004	0.028
34	0.044	0.041	0.042	0.018	0.023	0.034	0.011	0.025	0.018
35	0.077	0.037	0.032	0.031	0.025	0.063	0.057	0.111	0.075
36	0.053	0.031	0.032	0.026	0.014	0.030	0.018	0.076	0.022
37	0.081	0.051	0.086	0.066	0.042	0.000	0.018	0.018	0.077
38	0.057	0.022	0.006	0.013	0.009	0.026	0.014	0.010	0.028
39	0.056	0.033	0.021	0.038	0.036	0.035	0.022	0.028	0.023
40	0.056	0.037	0.062	0.053	0.004	0.034	0.015	0.025	0.018
41	0.074	0.051	0.068	0.074	0.039	0.019	0.018	0.028	0.033
42	0.052	0.041	0.048	0.008	0.000	0.012	0.034	0.025	0.083
43	0.031	0.039	0.048	0.051	0.044	0.021	0.065	0.004	0.050
44	0.028	0.006	0.015	0.002	0.013	0.016	0.035	0.023	0.001
45	0.051	0.005	0.010	0.002	0.007	0.009	0.046	0.044	0.061
46	0.016	0.036	0.012	0.002	0.006	0.015	0.025	0.023	0.036
47	0.029	0.030	0.017	0.010	0.021	0.009	0.016	0.051	0.020
48	0.031	0.028	0.011	0.035	0.003	0.006	0.023	0.084	0.044
49	0.066	0.050	0.023	0.030	0.013	0.001	0.023	0.041	0.034
50	0.032	0.014	0.009	0.031	0.004	0.002	0.038	0.036	0.030
51	0.020	0.025	0.023	0.012	0.016	0.012	0.018	0.042	0.033
52	0.019	0.020	0.010	0.014	0.008	0.034	0.002	0.017	0.003
53	0.030	0.022	0.027	0.026	0.056	0.026	0.013	0.041	0.038
54	0.008	0.032	0.028	0.010	0.014	0.005	0.021	0.015	0.004
55	0.024	0.049	0.039	0.051	0.013	0.007	0.011	0.023	0.002
56	0.083	0.035	0.043	0.030	0.008	0.047	0.054	0.043	0.068
57	0.027	0.011	0.003	0.003	0.033	0.024	0.019	0.065	0.030
58	0.046	0.015	0.012	0.006	0.018	0.003	0.019	0.056	0.026
59	0.063	0.048	0.059	0.034	0.011	0.002	0.025	0.043	0.011
60	0.043	0.036	0.042	0.001	0.036	0.022	0.022	0.024	0.033
