Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
21	0.005	0.038	0.020	0.045	0.008	0.054	0.084	0.080	0.034
22	0.004	0.009	0.001	0.024	0.003	0.050	0.018	0.064	0.025
23	0.062	0.028	0.014	0.008	0.007	0.010	0.035	0.029	0.082
24	0.069	0.038	0.019	0.041	0.007	0.014	0.031	0.045	0.039
25	0.068	0.043	0.012	0.014	0.044	0.012	0.025	0.002	0.011
26	0.019	0.063	0.007	0.035	0.024	0.034	0.016	0.058	0.031
27	0.052	0.009	0.050	0.001	0.014	0.008	0.048	0.028	0.032
28	0.018	0.006	0.008	0.040	0.043	0.033	0.071	0.009	0.009
29	0.033	0.046	0.048	0.012	0.046	0.025	0.048	0.014	0.018
30	0.016	0.001	0.004	0.003	0.003	0.008	0.031	0.009	0.025
31	0.075	0.062	0.020	0.029	0.052	0.046	0.014	0.043	0.017
32	0.043	0.020	0.024	0.004	0.002	0.015	0.051	0.025	0.021
33	0.011	0.006	0.004	0.012	0.046	0.005	0.010	0.010	0.021
34	0.065	0.001	0.020	0.014	0.006	0.010	0.046	0.003	0.030
35	0.067	0.042	0.052	0.049	0.024	0.034	0.025	0.083	0.088
36	0.022	0.039	0.025	0.020	0.005	0.017	0.026	0.034	0.019
37	0.062	0.071	0.069	0.045	0.050	0.028	0.043	0.053	0.054
38	0.034	0.012	0.009	0.053	0.022	0.018	0.066	0.014	0.001
39	0.048	0.049	0.023	0.021	0.005	0.033	0.024	0.041	0.016
40	0.052	0.038	0.040	0.041	0.016	0.016	0.005	0.050	0.029
41	0.105	0.057	0.087	0.102	0.042	0.003	0.011	0.042	0.012
42	0.006	0.030	0.033	0.043	0.013	0.044	0.067	0.007	0.077
43	0.040	0.041	0.026	0.022	0.050	0.003	0.016	0.038	0.064
44	0.004	0.004	0.042	0.004	0.011	0.043	0.013	0.002	0.018
45	0.047	0.018	0.021	0.026	0.007	0.009	0.039	0.077	0.015
46	0.022	0.018	0.001	0.039	0.001	0.050	0.008	0.034	0.010
47	0.031	0.018	0.016	0.004	0.009	0.012	0.029	0.021	0.001
48	0.021	0.011	0.008	0.035	0.018	0.018	0.020	0.021	0.018
49	0.035	0.050	0.047	0.027	0.018	0.013	0.002	0.034	0.018
50	0.011	0.014	0.029	0.015	0.032	0.022	0.017	0.000	0.039
51	0.040	0.007	0.018	0.009	0.009	0.019	0.012	0.006	0.038
52	0.016	0.005	0.007	0.004	0.001	0.005	0.024	0.009	0.026
53	0.035	0.025	0.026	0.024	0.051	0.014	0.045	0.048	0.007
54	0.001	0.005	0.026	0.003	0.022	0.025	0.023	0.025	0.008
55	0.020	0.030	0.012	0.007	0.028	0.007	0.007	0.013	0.029
56	0.045	0.047	0.027	0.039	0.003	0.042	0.084	0.101	0.037
57	0.010	0.011	0.006	0.006	0.022	0.033	0.041	0.052	0.001
58	0.043	0.011	0.006	0.011	0.027	0.012	0.010	0.028	0.000
59	0.061	0.057	0.065	0.031	0.023	0.009	0.058	0.034	0.007
60	0.022	0.024	0.035	0.012	0.013	0.011	0.056	0.016	0.011
