Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
21	0.026	0.050	0.023	0.017	0.030	0.028	0.076	0.050	0.001
22	0.012	0.008	0.019	0.015	0.011	0.002	0.031	0.048	0.038
23	0.043	0.044	0.005	0.014	0.011	0.001	0.009	0.019	0.092
24	0.054	0.054	0.047	0.065	0.019	0.032	0.022	0.070	0.036
25	0.067	0.016	0.037	0.034	0.049	0.014	0.003	0.035	0.054
26	0.038	0.018	0.023	0.031	0.030	0.062	0.034	0.024	0.023
27	0.006	0.007	0.014	0.015	0.014	0.030	0.014	0.026	0.051
28	0.006	0.000	0.030	0.003	0.037	0.038	0.051	0.033	0.000
29	0.057	0.056	0.023	0.010	0.024	0.025	0.000	0.008	0.024
30	0.044	0.012	0.001	0.021	0.015	0.024	0.053	0.013	0.005
31	0.067	0.034	0.022	0.010	0.047	0.030	0.034	0.049	0.014
32	0.065	0.028	0.021	0.016	0.010	0.011	0.025	0.007	0.024
33	0.016	0.004	0.015	0.004	0.001	0.052	0.006	0.002	0.002
34	0.050	0.047	0.013	0.007	0.008	0.001	0.003	0.016	0.010
35	0.066	0.038	0.028	0.024	0.035	0.046	0.064	0.090	0.061
36	0.040	0.023	0.020	0.002	0.002	0.011	0.011	0.047	0.054
37	0.070	0.057	0.085	0.076	0.039	0.008	0.007	0.027	0.085
38	0.054	0.032	0.014	0.016	0.030	0.011	0.010	0.003	0.017
39	0.043	0.041	0.010	0.017	0.013	0.023	0.030	0.090	0.035
40	0.068	0.018	0.051	0.042	0.024	0.012	0.010	0.021	0.041
41	0.074	0.054	0.048	0.053	0.050	0.001	0.002	0.029	0.000
42	0.039	0.036	0.043	0.023	0.008	0.014	0.025	0.034	0.092
43	0.029	0.061	0.060	0.060	0.061	0.003	0.057	0.004	0.040
44	0.026	0.005	0.010	0.008	0.008	0.025	0.039	0.007	0.007
45	0.033	0.011	0.041	0.007	0.003	0.025	0.040	0.015	0.025
46	0.012	0.041	0.033	0.021	0.008	0.053	0.017	0.025	0.054
47	0.043	0.035	0.025	0.006	0.004	0.009	0.007	0.029	0.015
48	0.028	0.007	0.008	0.025	0.012	0.009	0.003	0.060	0.029
49	0.055	0.069	0.037	0.038	0.014	0.007	0.013	0.025	0.047
50	0.028	0.011	0.010	0.052	0.017	0.037	0.035	0.011	0.026
51	0.026	0.016	0.008	0.006	0.021	0.009	0.026	0.021	0.018
52	0.005	0.004	0.011	0.006	0.024	0.002	0.016	0.005	0.013
53	0.022	0.041	0.033	0.024	0.051	0.027	0.037	0.051	0.058
54	0.003	0.017	0.007	0.011	0.003	0.004	0.008	0.026	0.012
55	0.049	0.038	0.026	0.048	0.016	0.002	0.005	0.017	0.032
56	0.060	0.044	0.038	0.040	0.016	0.011	0.048	0.064	0.053
57	0.025	0.012	0.018	0.004	0.025	0.034	0.040	0.078	0.029
58	0.042	0.006	0.008	0.003	0.016	0.018	0.019	0.043	0.037
59	0.051	0.060	0.060	0.024	0.014	0.003	0.019	0.024	0.037
60	0.055	0.021	0.018	0.038	0.037	0.027	0.034	0.005	0.043
