Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
21	0.016	0.071	0.018	0.033	0.019	0.035	0.068	0.071	0.010
22	0.014	0.070	0.016	0.025	0.019	0.001	0.017	0.052	0.003
23	0.034	0.033	0.030	0.025	0.022	0.002	0.011	0.008	0.091
24	0.055	0.029	0.035	0.064	0.024	0.011	0.022	0.067	0.051
25	0.088	0.034	0.005	0.002	0.044	0.001	0.021	0.021	0.042
26	0.001	0.037	0.003	0.013	0.029	0.044	0.036	0.039	0.008
27	0.071	0.025	0.070	0.003	0.029	0.020	0.019	0.042	0.025
28	0.013	0.004	0.020	0.009	0.026	0.029	0.042	0.047	0.048
29	0.024	0.060	0.053	0.017	0.037	0.050	0.016	0.008	0.016
30	0.019	0.003	0.010	0.006	0.010	0.043	0.038	0.014	0.011
31	0.108	0.026	0.004	0.027	0.053	0.038	0.019	0.067	0.085
32	0.058	0.043	0.024	0.001	0.000	0.024	0.016	0.053	0.006
33	0.005	0.029	0.013	0.011	0.024	0.040	0.014	0.021	0.039
34	0.027	0.037	0.011	0.022	0.017	0.001	0.013	0.002	0.007
35	0.074	0.024	0.016	0.023	0.031	0.032	0.083	0.117	0.027
36	0.059	0.029	0.012	0.024	0.001	0.013	0.022	0.069	0.010
37	0.080	0.071	0.080	0.054	0.028	0.008	0.017	0.026	0.046
38	0.060	0.024	0.007	0.015	0.014	0.013	0.029	0.003	0.003
39	0.053	0.046	0.049	0.045	0.008	0.052	0.056	0.048	0.080
40	0.054	0.045	0.077	0.048	0.018	0.020	0.009	0.008	0.037
41	0.087	0.072	0.051	0.084	0.059	0.025	0.004	0.032	0.028
42	0.014	0.044	0.050	0.028	0.007	0.015	0.044	0.018	0.064
43	0.035	0.057	0.064	0.063	0.051	0.017	0.029	0.062	0.054
44	0.019	0.014	0.000	0.000	0.025	0.042	0.052	0.003	0.016
45	0.038	0.008	0.008	0.004	0.004	0.023	0.032	0.079	0.006
46	0.033	0.013	0.004	0.021	0.000	0.045	0.008	0.032	0.019
47	0.028	0.024	0.010	0.017	0.011	0.018	0.008	0.038	0.014
48	0.023	0.025	0.004	0.021	0.024	0.014	0.002	0.040	0.032
49	0.036	0.038	0.009	0.033	0.015	0.013	0.011	0.027	0.029
50	0.029	0.022	0.026	0.031	0.023	0.022	0.025	0.021	0.031
51	0.043	0.010	0.001	0.002	0.027	0.023	0.005	0.017	0.035
52	0.027	0.036	0.025	0.014	0.003	0.025	0.014	0.015	0.015
53	0.040	0.055	0.035	0.019	0.054	0.004	0.023	0.033	0.044
54	0.006	0.039	0.002	0.011	0.014	0.008	0.007	0.018	0.031
55	0.029	0.053	0.036	0.057	0.019	0.010	0.020	0.040	0.013
56	0.058	0.017	0.023	0.041	0.006	0.025	0.042	0.041	0.046
57	0.014	0.000	0.001	0.017	0.004	0.009	0.026	0.060	0.009
58	0.035	0.036	0.003	0.021	0.023	0.013	0.026	0.030	0.030
59	0.055	0.075	0.064	0.027	0.005	0.011	0.034	0.033	0.013
60	0.032	0.041	0.054	0.022	0.026	0.005	0.021	0.031	0.034
