Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
21	0.025	0.059	0.063	0.008	0.015	0.039	0.116	0.112	0.043
22	0.031	0.020	0.003	0.018	0.005	0.036	0.051	0.073	0.033
23	0.050	0.038	0.007	0.011	0.031	0.033	0.062	0.000	0.074
24	0.038	0.034	0.034	0.055	0.011	0.010	0.038	0.055	0.043
25	0.064	0.028	0.024	0.008	0.041	0.014	0.022	0.000	0.034
26	0.038	0.060	0.002	0.041	0.036	0.058	0.020	0.060	0.005
27	0.028	0.018	0.043	0.012	0.018	0.006	0.019	0.030	0.004
28	0.022	0.010	0.018	0.010	0.054	0.021	0.048	0.044	0.003
29	0.038	0.050	0.023	0.014	0.029	0.021	0.014	0.020	0.020
30	0.001	0.007	0.018	0.001	0.000	0.003	0.039	0.014	0.023
31	0.080	0.040	0.002	0.040	0.050	0.034	0.010	0.062	0.034
32	0.067	0.033	0.013	0.005	0.003	0.016	0.051	0.032	0.032
33	0.005	0.010	0.002	0.024	0.042	0.015	0.000	0.012	0.000
34	0.044	0.003	0.009	0.020	0.014	0.003	0.027	0.020	0.042
35	0.048	0.037	0.044	0.020	0.002	0.027	0.037	0.064	0.065
36	0.046	0.035	0.038	0.011	0.013	0.036	0.046	0.032	0.008
37	0.058	0.064	0.060	0.038	0.027	0.030	0.025	0.042	0.052
38	0.064	0.011	0.017	0.007	0.009	0.028	0.066	0.014	0.020
39	0.053	0.037	0.028	0.024	0.014	0.021	0.040	0.022	0.014
40	0.086	0.054	0.039	0.047	0.047	0.016	0.001	0.046	0.021
41	0.087	0.046	0.094	0.076	0.044	0.016	0.005	0.017	0.024
42	0.052	0.035	0.027	0.014	0.006	0.046	0.056	0.016	0.103
43	0.050	0.043	0.032	0.064	0.016	0.018	0.017	0.070	0.065
44	0.034	0.013	0.007	0.001	0.001	0.019	0.006	0.032	0.046
45	0.050	0.008	0.017	0.025	0.010	0.027	0.059	0.065	0.014
46	0.043	0.034	0.013	0.024	0.011	0.068	0.000	0.022	0.031
47	0.054	0.031	0.008	0.018	0.006	0.006	0.027	0.021	0.012
48	0.028	0.000	0.001	0.024	0.013	0.016	0.002	0.036	0.001
49	0.054	0.018	0.035	0.030	0.007	0.025	0.012	0.028	0.042
50	0.004	0.029	0.007	0.029	0.025	0.021	0.014	0.002	0.052
51	0.042	0.022	0.004	0.009	0.009	0.012	0.000	0.002	0.041
52	0.022	0.019	0.000	0.014	0.000	0.010	0.011	0.006	0.002
53	0.029	0.020	0.034	0.021	0.063	0.036	0.047	0.035	0.024
54	0.004	0.010	0.004	0.028	0.007	0.020	0.022	0.025	0.029
55	0.044	0.022	0.008	0.027	0.018	0.001	0.015	0.022	0.016
56	0.070	0.021	0.010	0.019	0.000	0.036	0.094	0.073	0.046
57	0.020	0.015	0.001	0.001	0.021	0.019	0.055	0.041	0.015
58	0.044	0.013	0.015	0.034	0.032	0.028	0.005	0.043	0.015
59	0.065	0.072	0.054	0.027	0.006	0.000	0.038	0.058	0.017
60	0.052	0.042	0.050	0.016	0.025	0.032	0.067	0.043	0.033
