Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
21	0.046	0.005	0.008	0.011	0.042	0.025	0.047	0.083	0.007
22	0.028	0.022	0.009	0.044	0.002	0.010	0.060	0.043	0.037
23	0.049	0.070	0.021	0.011	0.030	0.031	0.063	0.034	0.061
24	0.069	0.075	0.046	0.071	0.008	0.006	0.034	0.013	0.027
25	0.034	0.047	0.027	0.050	0.033	0.014	0.003	0.025	0.051
26	0.025	0.025	0.022	0.006	0.005	0.062	0.019	0.007	0.021
27	0.027	0.026	0.029	0.011	0.021	0.015	0.016	0.046	0.025
28	0.012	0.012	0.027	0.032	0.047	0.021	0.048	0.003	0.029
29	0.062	0.047	0.038	0.016	0.030	0.033	0.004	0.005	0.006
30	0.005	0.039	0.008	0.007	0.003	0.069	0.036	0.029	0.027
31	0.030	0.041	0.013	0.075	0.007	0.061	0.006	0.025	0.050
32	0.068	0.057	0.015	0.014	0.009	0.010	0.030	0.014	0.029
33	0.028	0.013	0.029	0.005	0.037	0.026	0.010	0.014	0.023
34	0.039	0.043	0.033	0.002	0.010	0.022	0.025	0.035	0.013
35	0.097	0.050	0.085	0.027	0.016	0.025	0.060	0.113	0.021
36	0.061	0.004	0.060	0.001	0.028	0.010	0.027	0.061	0.028
37	0.058	0.066	0.080	0.062	0.046	0.031	0.006	0.025	0.042
38	0.041	0.034	0.009	0.010	0.001	0.012	0.049	0.012	0.002
39	0.015	0.004	0.015	0.035	0.017	0.040	0.066	0.048	0.088
40	0.068	0.052	0.068	0.032	0.012	0.011	0.016	0.000	0.064
41	0.063	0.072	0.077	0.095	0.046	0.030	0.023	0.013	0.031
42	0.039	0.016	0.007	0.002	0.004	0.041	0.081	0.028	0.052
43	0.020	0.042	0.005	0.079	0.055	0.009	0.039	0.017	0.021
44	0.061	0.013	0.014	0.005	0.027	0.033	0.036	0.029	0.013
45	0.007	0.027	0.001	0.002	0.017	0.029	0.058	0.085	0.034
46	0.034	0.023	0.017	0.028	0.004	0.041	0.022	0.056	0.007
47	0.031	0.017	0.002	0.041	0.011	0.003	0.000	0.035	0.017
48	0.009	0.006	0.008	0.009	0.008	0.025	0.024	0.023	0.010
49	0.069	0.019	0.013	0.034	0.017	0.000	0.003	0.031	0.056
50	0.027	0.011	0.003	0.011	0.025	0.035	0.036	0.019	0.015
51	0.025	0.032	0.005	0.032	0.006	0.005	0.043	0.055	0.004
52	0.012	0.056	0.013	0.005	0.026	0.031	0.027	0.026	0.009
53	0.031	0.034	0.080	0.052	0.075	0.025	0.043	0.075	0.075
54	0.035	0.013	0.013	0.051	0.007	0.018	0.041	0.033	0.012
55	0.029	0.019	0.025	0.015	0.043	0.018	0.029	0.054	0.007
56	0.049	0.050	0.035	0.008	0.012	0.038	0.088	0.058	0.053
57	0.034	0.015	0.004	0.013	0.016	0.018	0.026	0.054	0.035
58	0.039	0.001	0.041	0.004	0.055	0.049	0.002	0.026	0.056
59	0.084	0.035	0.057	0.076	0.024	0.016	0.018	0.021	0.041
60	0.042	0.006	0.002	0.032	0.012	0.013	0.005	0.035	0.056
