Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
21	0.083	0.037	0.026	0.021	0.040	0.001	0.065	0.093	0.012
22	0.030	0.005	0.018	0.042	0.016	0.007	0.029	0.037	0.030
23	0.040	0.060	0.024	0.004	0.032	0.033	0.036	0.035	0.038
24	0.070	0.053	0.048	0.033	0.023	0.007	0.031	0.026	0.036
25	0.008	0.051	0.021	0.042	0.017	0.019	0.003	0.043	0.017
26	0.033	0.031	0.005	0.032	0.007	0.063	0.003	0.024	0.008
27	0.046	0.049	0.040	0.030	0.002	0.006	0.039	0.057	0.042
28	0.003	0.043	0.046	0.027	0.036	0.041	0.018	0.021	0.060
29	0.041	0.062	0.040	0.006	0.009	0.021	0.019	0.000	0.010
30	0.001	0.012	0.025	0.014	0.026	0.034	0.049	0.004	0.005
31	0.004	0.026	0.003	0.054	0.033	0.051	0.006	0.027	0.019
32	0.032	0.061	0.019	0.016	0.022	0.032	0.003	0.014	0.001
33	0.027	0.003	0.041	0.005	0.046	0.010	0.002	0.004	0.027
34	0.039	0.024	0.031	0.002	0.008	0.002	0.006	0.058	0.016
35	0.118	0.059	0.087	0.035	0.015	0.008	0.072	0.110	0.038
36	0.075	0.002	0.040	0.014	0.023	0.005	0.031	0.119	0.056
37	0.080	0.048	0.082	0.065	0.042	0.025	0.009	0.040	0.040
38	0.063	0.067	0.001	0.053	0.003	0.019	0.029	0.024	0.019
39	0.065	0.012	0.009	0.037	0.032	0.020	0.060	0.043	0.085
40	0.053	0.043	0.032	0.066	0.008	0.005	0.026	0.007	0.057
41	0.093	0.087	0.064	0.101	0.061	0.031	0.015	0.017	0.059
42	0.050	0.020	0.014	0.007	0.021	0.049	0.055	0.001	0.037
43	0.006	0.069	0.034	0.058	0.037	0.013	0.030	0.014	0.017
44	0.047	0.009	0.019	0.008	0.012	0.024	0.026	0.041	0.011
45	0.014	0.008	0.014	0.039	0.017	0.046	0.057	0.056	0.025
46	0.036	0.036	0.001	0.023	0.012	0.034	0.030	0.054	0.027
47	0.028	0.001	0.013	0.033	0.013	0.045	0.007	0.025	0.017
48	0.014	0.033	0.009	0.013	0.023	0.009	0.006	0.069	0.026
49	0.045	0.041	0.017	0.022	0.019	0.007	0.016	0.026	0.031
50	0.047	0.004	0.030	0.020	0.004	0.040	0.026	0.056	0.004
51	0.028	0.003	0.017	0.039	0.004	0.001	0.030	0.034	0.018
52	0.010	0.055	0.018	0.010	0.003	0.018	0.032	0.028	0.010
53	0.035	0.037	0.074	0.054	0.047	0.024	0.024	0.079	0.091
54	0.008	0.032	0.006	0.062	0.013	0.013	0.032	0.054	0.002
55	0.023	0.017	0.034	0.039	0.039	0.005	0.044	0.070	0.003
56	0.062	0.037	0.005	0.040	0.010	0.036	0.052	0.053	0.039
57	0.023	0.017	0.001	0.002	0.001	0.026	0.027	0.049	0.032
58	0.040	0.009	0.025	0.022	0.044	0.049	0.024	0.048	0.036
59	0.086	0.040	0.042	0.035	0.009	0.018	0.014	0.031	0.033
60	0.018	0.026	0.013	0.027	0.026	0.003	0.023	0.016	0.092
