Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
21	0.002	0.065	0.037	0.013	0.025	0.025	0.076	0.078	0.033
22	0.014	0.011	0.001	0.031	0.005	0.035	0.040	0.054	0.001
23	0.045	0.047	0.013	0.003	0.012	0.021	0.032	0.007	0.104
24	0.055	0.033	0.030	0.063	0.013	0.018	0.025	0.044	0.063
25	0.055	0.034	0.002	0.035	0.041	0.007	0.016	0.008	0.050
26	0.038	0.058	0.001	0.028	0.015	0.056	0.058	0.065	0.000
27	0.068	0.004	0.053	0.034	0.022	0.028	0.003	0.020	0.003
28	0.050	0.004	0.030	0.047	0.043	0.032	0.034	0.043	0.049
29	0.018	0.069	0.015	0.015	0.010	0.019	0.004	0.018	0.011
30	0.005	0.008	0.002	0.027	0.006	0.002	0.003	0.008	0.007
31	0.078	0.041	0.031	0.028	0.041	0.045	0.017	0.025	0.022
32	0.051	0.027	0.028	0.026	0.009	0.001	0.023	0.010	0.002
33	0.009	0.016	0.007	0.034	0.032	0.028	0.003	0.015	0.027
34	0.050	0.020	0.009	0.005	0.006	0.004	0.022	0.012	0.009
35	0.051	0.046	0.052	0.032	0.006	0.022	0.052	0.091	0.113
36	0.050	0.050	0.023	0.002	0.003	0.039	0.049	0.039	0.011
37	0.085	0.052	0.071	0.038	0.038	0.028	0.041	0.053	0.010
38	0.055	0.021	0.011	0.011	0.011	0.043	0.032	0.035	0.008
39	0.076	0.034	0.021	0.020	0.020	0.031	0.072	0.065	0.013
40	0.053	0.052	0.033	0.067	0.002	0.006	0.035	0.049	0.053
41	0.106	0.051	0.070	0.069	0.023	0.002	0.012	0.005	0.020
42	0.032	0.043	0.042	0.037	0.007	0.041	0.069	0.006	0.054
43	0.057	0.040	0.052	0.039	0.049	0.009	0.027	0.007	0.077
44	0.011	0.006	0.012	0.003	0.019	0.016	0.020	0.005	0.028
45	0.070	0.006	0.012	0.010	0.012	0.005	0.035	0.085	0.017
46	0.050	0.016	0.013	0.033	0.007	0.049	0.046	0.017	0.015
47	0.029	0.024	0.003	0.003	0.001	0.019	0.004	0.025	0.016
48	0.031	0.005	0.006	0.008	0.007	0.008	0.008	0.033	0.007
49	0.035	0.033	0.029	0.015	0.013	0.006	0.011	0.026	0.028
50	0.003	0.026	0.005	0.002	0.009	0.023	0.028	0.009	0.007
51	0.027	0.013	0.007	0.006	0.008	0.007	0.028	0.008	0.033
52	0.020	0.011	0.040	0.006	0.012	0.000	0.008	0.000	0.007
53	0.042	0.043	0.028	0.020	0.052	0.006	0.027	0.042	0.022
54	0.007	0.015	0.011	0.012	0.019	0.039	0.025	0.014	0.026
55	0.030	0.017	0.007	0.016	0.042	0.001	0.012	0.001	0.007
56	0.080	0.040	0.021	0.033	0.011	0.013	0.030	0.073	0.047
57	0.027	0.003	0.003	0.014	0.032	0.025	0.037	0.056	0.016
58	0.036	0.000	0.012	0.025	0.027	0.027	0.043	0.057	0.021
59	0.067	0.063	0.054	0.043	0.011	0.013	0.043	0.052	0.022
60	0.035	0.042	0.038	0.010	0.043	0.010	0.047	0.061	0.031
