Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
21	0.040	0.021	0.005	0.068	0.006	0.071	0.061	0.076	0.031
22	0.034	0.007	0.010	0.003	0.024	0.031	0.010	0.050	0.030
23	0.052	0.051	0.007	0.019	0.015	0.008	0.064	0.032	0.060
24	0.021	0.066	0.048	0.061	0.001	0.012	0.015	0.035	0.069
25	0.017	0.041	0.034	0.022	0.001	0.026	0.005	0.024	0.022
26	0.064	0.032	0.012	0.005	0.029	0.016	0.050	0.045	0.045
27	0.045	0.026	0.030	0.016	0.012	0.015	0.023	0.018	0.095
28	0.026	0.024	0.025	0.037	0.020	0.029	0.067	0.022	0.032
29	0.025	0.046	0.023	0.037	0.010	0.042	0.015	0.018	0.009
30	0.006	0.013	0.008	0.001	0.006	0.026	0.040	0.010	0.013
31	0.041	0.077	0.051	0.055	0.058	0.015	0.056	0.040	0.037
32	0.040	0.023	0.013	0.022	0.015	0.012	0.018	0.064	0.005
33	0.023	0.013	0.038	0.029	0.036	0.036	0.005	0.015	0.009
34	0.059	0.024	0.015	0.013	0.001	0.002	0.002	0.012	0.045
35	0.054	0.056	0.065	0.057	0.007	0.029	0.021	0.100	0.019
36	0.010	0.037	0.016	0.004	0.028	0.026	0.036	0.044	0.007
37	0.063	0.055	0.056	0.047	0.039	0.006	0.034	0.036	0.035
38	0.041	0.039	0.017	0.016	0.022	0.003	0.058	0.030	0.035
39	0.027	0.006	0.013	0.005	0.011	0.038	0.036	0.007	0.057
40	0.066	0.071	0.060	0.035	0.020	0.013	0.005	0.018	0.064
41	0.060	0.088	0.080	0.103	0.008	0.033	0.001	0.020	0.049
42	0.039	0.020	0.013	0.014	0.014	0.040	0.125	0.042	0.016
43	0.040	0.045	0.014	0.061	0.051	0.020	0.016	0.004	0.035
44	0.044	0.006	0.027	0.011	0.001	0.035	0.019	0.005	0.009
45	0.003	0.000	0.010	0.019	0.020	0.063	0.075	0.059	0.026
46	0.047	0.025	0.004	0.020	0.038	0.052	0.031	0.040	0.004
47	0.062	0.011	0.004	0.007	0.046	0.001	0.005	0.094	0.071
48	0.014	0.000	0.016	0.035	0.030	0.021	0.015	0.036	0.029
49	0.046	0.070	0.025	0.030	0.024	0.026	0.002	0.021	0.040
50	0.045	0.015	0.021	0.002	0.022	0.022	0.002	0.009	0.019
51	0.025	0.024	0.027	0.025	0.038	0.044	0.004	0.005	0.007
52	0.015	0.033	0.003	0.033	0.038	0.018	0.011	0.022	0.029
53	0.027	0.048	0.038	0.051	0.041	0.038	0.027	0.036	0.054
54	0.001	0.011	0.033	0.014	0.001	0.049	0.019	0.032	0.025
55	0.010	0.007	0.011	0.015	0.032	0.009	0.006	0.001	0.021
56	0.039	0.035	0.044	0.018	0.014	0.038	0.073	0.083	0.051
57	0.028	0.016	0.005	0.007	0.032	0.002	0.026	0.051	0.032
58	0.072	0.005	0.021	0.011	0.018	0.041	0.010	0.035	0.050
59	0.082	0.034	0.042	0.014	0.058	0.013	0.031	0.034	0.040
60	0.022	0.033	0.003	0.005	0.022	0.044	0.047	0.024	0.068
