Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
21	0.075	0.021	0.024	0.017	0.019	0.053	0.059	0.059	0.006
22	0.010	0.031	0.010	0.004	0.022	0.044	0.025	0.034	0.002
23	0.053	0.056	0.011	0.031	0.023	0.017	0.069	0.015	0.046
24	0.070	0.028	0.062	0.076	0.002	0.000	0.009	0.030	0.054
25	0.039	0.053	0.031	0.029	0.013	0.024	0.040	0.026	0.046
26	0.001	0.040	0.010	0.007	0.039	0.031	0.009	0.037	0.019
27	0.047	0.049	0.042	0.014	0.013	0.012	0.016	0.023	0.010
28	0.021	0.031	0.027	0.044	0.016	0.031	0.073	0.127	0.009
29	0.040	0.046	0.018	0.023	0.001	0.033	0.014	0.022	0.004
30	0.032	0.010	0.016	0.008	0.014	0.045	0.041	0.012	0.025
31	0.004	0.069	0.031	0.015	0.047	0.005	0.031	0.016	0.009
32	0.055	0.055	0.043	0.003	0.011	0.001	0.009	0.051	0.025
33	0.008	0.004	0.032	0.010	0.024	0.001	0.027	0.017	0.039
34	0.049	0.010	0.006	0.016	0.006	0.025	0.045	0.018	0.032
35	0.069	0.081	0.074	0.052	0.033	0.016	0.028	0.093	0.054
36	0.021	0.058	0.031	0.013	0.001	0.002	0.012	0.034	0.007
37	0.063	0.065	0.054	0.039	0.034	0.013	0.030	0.064	0.015
38	0.030	0.049	0.003	0.029	0.028	0.031	0.097	0.032	0.032
39	0.044	0.018	0.004	0.019	0.013	0.043	0.010	0.020	0.057
40	0.024	0.028	0.052	0.043	0.056	0.021	0.025	0.020	0.038
41	0.068	0.045	0.065	0.106	0.047	0.010	0.035	0.010	0.046
42	0.025	0.055	0.016	0.023	0.015	0.018	0.093	0.039	0.015
43	0.075	0.045	0.046	0.047	0.054	0.022	0.043	0.018	0.049
44	0.047	0.010	0.006	0.005	0.002	0.001	0.061	0.010	0.024
45	0.016	0.009	0.002	0.012	0.024	0.074	0.068	0.090	0.035
46	0.027	0.043	0.010	0.023	0.001	0.005	0.020	0.042	0.003
47	0.032	0.007	0.019	0.017	0.051	0.033	0.021	0.046	0.023
48	0.011	0.011	0.012	0.022	0.041	0.014	0.009	0.021	0.009
49	0.038	0.040	0.038	0.053	0.004	0.015	0.045	0.024	0.052
50	0.002	0.000	0.002	0.006	0.025	0.025	0.013	0.024	0.006
51	0.037	0.024	0.019	0.022	0.024	0.008	0.048	0.010	0.031
52	0.032	0.012	0.025	0.022	0.016	0.004	0.073	0.013	0.018
53	0.019	0.066	0.019	0.034	0.035	0.040	0.037	0.050	0.021
54	0.024	0.029	0.007	0.009	0.002	0.016	0.033	0.030	0.000
55	0.021	0.005	0.019	0.014	0.031	0.012	0.015	0.032	0.015
56	0.052	0.038	0.042	0.022	0.007	0.046	0.058	0.068	0.083
57	0.026	0.010	0.003	0.002	0.018	0.000	0.018	0.040	0.019
58	0.030	0.016	0.024	0.001	0.016	0.055	0.004	0.025	0.041
59	0.099	0.044	0.045	0.031	0.046	0.003	0.024	0.031	0.031
60	0.018	0.002	0.027	0.006	0.008	0.057	0.026	0.035	0.048
