Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
21	0.014	0.043	0.005	0.012	0.057	0.032	0.094	0.092	0.001
22	0.005	0.011	0.013	0.020	0.018	0.013	0.035	0.019	0.025
23	0.046	0.034	0.013	0.011	0.018	0.002	0.032	0.026	0.063
24	0.037	0.048	0.021	0.045	0.013	0.039	0.042	0.083	0.028
25	0.067	0.043	0.012	0.024	0.037	0.004	0.005	0.044	0.059
26	0.019	0.014	0.004	0.046	0.032	0.045	0.033	0.003	0.031
27	0.075	0.007	0.066	0.030	0.007	0.023	0.024	0.013	0.037
28	0.025	0.001	0.024	0.001	0.038	0.001	0.026	0.010	0.036
29	0.016	0.047	0.028	0.018	0.027	0.016	0.007	0.008	0.010
30	0.021	0.004	0.019	0.013	0.009	0.036	0.004	0.006	0.033
31	0.096	0.014	0.013	0.015	0.040	0.041	0.044	0.019	0.045
32	0.041	0.023	0.011	0.008	0.008	0.006	0.011	0.019	0.029
33	0.007	0.036	0.007	0.015	0.005	0.021	0.001	0.021	0.047
34	0.052	0.080	0.024	0.022	0.028	0.004	0.035	0.017	0.083
35	0.076	0.036	0.013	0.008	0.034	0.060	0.048	0.100	0.078
36	0.044	0.031	0.001	0.011	0.012	0.002	0.033	0.057	0.122
37	0.054	0.050	0.051	0.036	0.026	0.016	0.007	0.021	0.045
38	0.060	0.028	0.021	0.016	0.002	0.023	0.004	0.013	0.009
39	0.054	0.038	0.044	0.034	0.029	0.029	0.043	0.078	0.002
40	0.079	0.024	0.086	0.072	0.010	0.030	0.022	0.009	0.037
41	0.066	0.029	0.058	0.030	0.031	0.007	0.016	0.018	0.054
42	0.033	0.014	0.046	0.004	0.025	0.004	0.027	0.004	0.051
43	0.049	0.050	0.058	0.050	0.035	0.015	0.049	0.007	0.008
44	0.015	0.012	0.009	0.005	0.030	0.026	0.077	0.023	0.050
45	0.027	0.004	0.012	0.015	0.046	0.020	0.054	0.048	0.008
46	0.017	0.020	0.004	0.012	0.003	0.035	0.031	0.003	0.073
47	0.029	0.015	0.011	0.019	0.008	0.010	0.042	0.049	0.012
48	0.043	0.013	0.000	0.017	0.011	0.021	0.032	0.055	0.054
49	0.027	0.029	0.010	0.015	0.009	0.018	0.021	0.005	0.094
50	0.025	0.023	0.001	0.026	0.015	0.002	0.012	0.031	0.025
51	0.026	0.017	0.009	0.015	0.015	0.017	0.023	0.024	0.032
52	0.024	0.011	0.014	0.033	0.010	0.023	0.004	0.015	0.016
53	0.041	0.039	0.030	0.021	0.030	0.001	0.022	0.044	0.046
54	0.013	0.007	0.010	0.011	0.014	0.020	0.021	0.006	0.044
55	0.028	0.025	0.027	0.047	0.004	0.007	0.018	0.008	0.004
56	0.042	0.025	0.018	0.016	0.006	0.018	0.046	0.069	0.017
57	0.007	0.009	0.005	0.000	0.014	0.015	0.032	0.068	0.025
58	0.050	0.010	0.005	0.007	0.034	0.001	0.028	0.025	0.091
59	0.049	0.050	0.043	0.032	0.010	0.000	0.056	0.054	0.104
60	0.024	0.036	0.029	0.009	0.052	0.031	0.048	0.059	0.079
