Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
21	0.001	0.027	0.018	0.004	0.009	0.059	0.074	0.077	0.032
22	0.019	0.006	0.012	0.010	0.022	0.036	0.056	0.065	0.014
23	0.047	0.030	0.011	0.005	0.041	0.009	0.029	0.033	0.068
24	0.015	0.026	0.018	0.043	0.031	0.015	0.029	0.043	0.052
25	0.046	0.006	0.019	0.010	0.026	0.021	0.011	0.012	0.041
26	0.058	0.036	0.000	0.022	0.016	0.041	0.044	0.083	0.008
27	0.043	0.028	0.034	0.008	0.039	0.002	0.005	0.020	0.002
28	0.024	0.003	0.009	0.008	0.049	0.029	0.020	0.017	0.019
29	0.044	0.065	0.032	0.016	0.014	0.022	0.013	0.000	0.019
30	0.010	0.015	0.008	0.008	0.042	0.019	0.018	0.020	0.020
31	0.076	0.057	0.016	0.008	0.060	0.044	0.016	0.068	0.028
32	0.070	0.034	0.015	0.001	0.006	0.001	0.006	0.055	0.012
33	0.014	0.031	0.012	0.012	0.036	0.027	0.015	0.013	0.023
34	0.060	0.029	0.009	0.002	0.023	0.005	0.009	0.043	0.032
35	0.043	0.013	0.026	0.029	0.005	0.035	0.080	0.075	0.047
36	0.048	0.022	0.025	0.020	0.034	0.035	0.050	0.037	0.002
37	0.048	0.058	0.044	0.028	0.039	0.021	0.054	0.052	0.063
38	0.049	0.019	0.005	0.023	0.037	0.019	0.040	0.007	0.029
39	0.032	0.038	0.027	0.021	0.010	0.028	0.056	0.027	0.018
40	0.088	0.039	0.083	0.056	0.054	0.009	0.036	0.043	0.009
41	0.091	0.039	0.060	0.061	0.011	0.005	0.023	0.015	0.008
42	0.036	0.041	0.025	0.016	0.018	0.039	0.058	0.007	0.054
43	0.044	0.053	0.022	0.038	0.058	0.003	0.038	0.027	0.033
44	0.023	0.034	0.019	0.049	0.027	0.025	0.022	0.017	0.024
45	0.001	0.032	0.010	0.016	0.012	0.052	0.043	0.026	0.003
46	0.025	0.016	0.013	0.017	0.018	0.033	0.037	0.020	0.016
47	0.047	0.000	0.028	0.005	0.025	0.003	0.024	0.051	0.012
48	0.026	0.001	0.007	0.027	0.020	0.003	0.008	0.034	0.011
49	0.036	0.067	0.024	0.043	0.032	0.010	0.004	0.040	0.048
50	0.017	0.008	0.015	0.006	0.018	0.014	0.021	0.015	0.034
51	0.023	0.003	0.002	0.002	0.012	0.001	0.019	0.010	0.026
52	0.010	0.024	0.025	0.004	0.026	0.013	0.036	0.002	0.003
53	0.025	0.003	0.029	0.007	0.038	0.012	0.023	0.041	0.027
54	0.003	0.008	0.013	0.004	0.034	0.045	0.020	0.012	0.024
55	0.032	0.021	0.002	0.000	0.008	0.004	0.007	0.026	0.036
56	0.032	0.024	0.002	0.002	0.031	0.035	0.040	0.073	0.050
57	0.008	0.005	0.011	0.016	0.017	0.032	0.029	0.059	0.019
58	0.052	0.019	0.004	0.001	0.001	0.019	0.025	0.047	0.011
59	0.061	0.053	0.059	0.019	0.027	0.002	0.051	0.056	0.008
60	0.048	0.035	0.054	0.013	0.006	0.014	0.028	0.030	0.005
