Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
21	0.011	0.068	0.016	0.030	0.016	0.036	0.068	0.074	0.009
22	0.016	0.064	0.015	0.023	0.014	0.005	0.031	0.053	0.013
23	0.034	0.035	0.029	0.022	0.020	0.000	0.012	0.012	0.087
24	0.060	0.026	0.032	0.059	0.021	0.017	0.018	0.060	0.054
25	0.087	0.034	0.007	0.010	0.040	0.004	0.016	0.031	0.042
26	0.006	0.039	0.000	0.024	0.037	0.042	0.029	0.042	0.009
27	0.067	0.021	0.052	0.011	0.022	0.020	0.025	0.025	0.023
28	0.020	0.013	0.020	0.019	0.042	0.037	0.040	0.038	0.043
29	0.018	0.054	0.038	0.004	0.022	0.044	0.016	0.015	0.010
30	0.020	0.001	0.018	0.010	0.011	0.035	0.030	0.004	0.005
31	0.098	0.018	0.004	0.014	0.051	0.016	0.011	0.066	0.082
32	0.059	0.044	0.025	0.001	0.000	0.019	0.017	0.046	0.004
33	0.017	0.027	0.015	0.008	0.013	0.039	0.011	0.018	0.038
34	0.037	0.035	0.005	0.015	0.014	0.005	0.009	0.001	0.006
35	0.077	0.028	0.013	0.031	0.045	0.037	0.076	0.116	0.026
36	0.052	0.029	0.013	0.029	0.000	0.012	0.020	0.066	0.001
37	0.075	0.062	0.079	0.048	0.012	0.007	0.008	0.028	0.045
38	0.064	0.022	0.005	0.011	0.023	0.015	0.036	0.010	0.002
39	0.055	0.049	0.049	0.048	0.009	0.049	0.055	0.050	0.077
40	0.060	0.050	0.079	0.041	0.007	0.018	0.016	0.006	0.034
41	0.081	0.065	0.055	0.078	0.051	0.018	0.008	0.021	0.024
42	0.018	0.040	0.049	0.013	0.011	0.019	0.043	0.021	0.054
43	0.035	0.057	0.050	0.066	0.048	0.015	0.036	0.049	0.052
44	0.023	0.015	0.003	0.003	0.021	0.038	0.049	0.001	0.001
45	0.043	0.009	0.011	0.007	0.009	0.020	0.032	0.073	0.010
46	0.038	0.019	0.006	0.022	0.002	0.042	0.012	0.025	0.023
47	0.024	0.026	0.007	0.019	0.021	0.007	0.007	0.030	0.019
48	0.027	0.027	0.003	0.019	0.020	0.011	0.004	0.044	0.027
49	0.038	0.035	0.011	0.020	0.012	0.014	0.015	0.023	0.026
50	0.030	0.021	0.027	0.032	0.026	0.024	0.026	0.019	0.023
51	0.026	0.008	0.001	0.001	0.023	0.023	0.011	0.021	0.038
52	0.029	0.033	0.026	0.017	0.001	0.021	0.019	0.006	0.010
53	0.038	0.055	0.033	0.017	0.050	0.005	0.021	0.029	0.041
54	0.007	0.034	0.000	0.006	0.008	0.003	0.007	0.012	0.024
55	0.026	0.053	0.034	0.042	0.015	0.009	0.025	0.029	0.005
56	0.053	0.018	0.015	0.027	0.016	0.027	0.040	0.038	0.041
57	0.021	0.006	0.008	0.019	0.013	0.014	0.023	0.060	0.017
58	0.035	0.027	0.009	0.020	0.023	0.019	0.026	0.039	0.030
59	0.054	0.064	0.066	0.031	0.003	0.004	0.037	0.038	0.019
60	0.034	0.041	0.053	0.020	0.033	0.009	0.028	0.038	0.040
