Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.798	0.202	-0.202
2	7	-0.500	-0.072	0.428	-0.856
3	35	0.500	-0.379	-0.879	-1.758
4	23	-1.500	1.337	2.837	-1.891
5	34	-0.500	-1.966	-1.466	2.932
6	3	1.000	-0.857	-1.857	-1.857
7	6	0.500	-0.473	-0.973	-1.946
8	11	-0.500	-0.531	-0.031	0.062
9	16	1.000	1.141	0.141	0.141
