Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.139	0.143	0.103	0.072	0.057	0.099	0.082	0.181	0.152
 2	0.143	0.127	0.081	0.012	0.017	-0.005	-0.072	-0.087	-0.015
 3	0.115	0.089	0.023	0.029	0.015	0.026	0.061	0.048	-0.039
 4	-0.091	-0.065	-0.178	-0.141	-0.130	-0.062	-0.108	-0.167	-0.029
 5	0.021	0.007	0.019	0.020	-0.005	-0.027	-0.038	-0.034	-0.052
 6	0.051	0.049	0.014	-0.023	-0.054	-0.078	-0.055	-0.116	-0.031
 7	-0.118	-0.187	-0.113	-0.064	-0.104	-0.072	-0.118	-0.077	0.005
 8	0.006	0.053	0.046	0.071	0.086	0.094	0.100	0.123	-0.040
 9	0.022	0.011	0.019	-0.011	-0.046	-0.053	-0.127	-0.100	-0.131
10	-0.068	-0.027	-0.026	-0.007	-0.035	0.006	-0.023	-0.013	-0.046
11	-0.146	-0.167	-0.110	-0.140	-0.088	-0.072	0.008	-0.081	0.066
12	-0.033	0.034	-0.019	0.013	0.061	0.074	0.018	0.037	0.032
13	-0.037	-0.084	-0.041	-0.021	0.008	-0.023	0.044	0.084	-0.008
14	0.060	0.039	0.062	0.007	0.078	0.036	0.096	0.098	0.097
15	-0.061	0.002	-0.016	0.025	0.054	0.024	0.135	0.135	0.009
16	-0.065	-0.089	-0.019	-0.005	0.025	-0.002	-0.084	-0.049	0.125
17	0.004	0.056	0.048	0.047	0.049	0.037	-0.018	-0.034	-0.086
18	-0.084	-0.090	-0.047	-0.040	-0.061	-0.043	-0.023	-0.044	-0.003
19	-0.078	-0.030	-0.024	-0.023	-0.058	-0.072	-0.092	-0.101	-0.133
20	0.018	-0.067	0.017	-0.036	-0.020	-0.052	0.074	0.058	-0.045
21	-0.002	-0.007	0.084	0.056	0.130	0.088	0.137	0.137	0.081
22	-0.090	-0.052	-0.048	-0.066	-0.130	-0.132	-0.086	-0.055	-0.119
23	0.011	0.030	0.007	0.077	0.077	0.029	0.061	0.045	0.007
24	-0.043	-0.117	-0.028	0.020	-0.051	-0.017	0.010	-0.008	0.210
25	0.003	-0.055	-0.020	0.022	-0.007	-0.014	0.003	0.031	0.048
26	0.008	0.001	0.026	0.061	0.027	-0.012	-0.017	0.007	0.067
27	0.007	0.030	0.041	0.087	0.100	0.100	0.139	0.144	0.155
28	0.168	0.136	0.150	0.141	0.151	0.156	0.078	0.087	-0.139
29	0.079	0.121	0.076	0.070	0.112	0.095	0.114	0.023	0.070
30	0.083	0.115	0.069	0.069	0.078	0.065	0.058	0.040	0.011
31	0.031	0.064	0.067	0.051	0.059	0.061	0.019	0.023	0.033
32	0.013	0.034	0.036	0.011	0.018	0.063	-0.012	-0.044	-0.027
33	0.017	0.082	0.004	-0.019	-0.011	-0.006	0.000	-0.027	0.040
34	0.075	0.063	0.065	0.018	0.026	0.036	0.046	0.003	-0.061
35	0.074	0.040	0.031	0.039	0.002	0.054	0.074	0.084	0.013
36	0.000	0.027	-0.012	0.005	-0.015	0.016	-0.053	-0.013	-0.165
37	-0.074	-0.087	-0.088	-0.114	-0.035	-0.086	-0.073	-0.050	-0.002
38	0.013	0.005	-0.081	-0.111	-0.133	-0.135	-0.189	-0.120	-0.008
39	-0.141	-0.116	-0.162	-0.135	-0.169	-0.126	-0.128	-0.130	-0.053
40	0.037	-0.043	0.007	-0.005	-0.013	-0.013	0.018	0.023	0.068
dist2cax	81.293	61.143	40.838	20.619	0.547	-19.625	-39.763	-59.905	-80.389
