Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.722	0.278	-0.278
2	7	-0.500	0.375	0.875	-1.750
3	35	0.500	-0.485	-0.985	-1.970
4	23	-1.500	1.145	2.645	-1.763
5	34	-0.500	-0.423	0.077	-0.154
6	3	1.000	-1.098	-2.098	-2.098
7	6	0.500	-0.474	-0.974	-1.948
8	11	-0.500	-0.431	0.069	-0.138
9	16	1.000	0.993	-0.007	-0.007
