Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.160	0.131	0.098	0.084	0.049	0.122	0.125	0.181	0.160
 2	0.135	0.049	0.019	-0.019	-0.020	0.006	-0.097	-0.117	-0.067
 3	0.114	0.097	-0.005	0.108	0.090	0.046	0.051	0.029	-0.105
 4	-0.071	-0.055	-0.103	-0.130	-0.138	-0.099	-0.114	-0.129	-0.018
 5	0.024	0.015	0.020	0.016	-0.008	-0.048	0.007	-0.070	-0.078
 6	0.052	0.010	0.013	-0.018	0.009	-0.067	-0.034	-0.083	-0.076
 7	-0.092	-0.110	-0.057	-0.103	-0.022	-0.075	-0.080	-0.067	0.052
 8	-0.023	0.094	0.076	0.063	0.107	0.127	0.126	0.163	0.006
 9	0.083	0.037	0.001	0.021	0.018	-0.018	-0.020	-0.052	-0.147
10	-0.089	-0.071	-0.055	-0.030	-0.041	-0.004	-0.032	-0.013	-0.083
11	-0.124	-0.102	-0.064	-0.017	-0.124	-0.093	-0.044	-0.090	0.109
12	-0.084	-0.005	-0.013	0.006	0.011	0.086	0.027	0.023	0.011
13	-0.048	-0.095	-0.033	-0.027	0.008	-0.028	0.053	0.089	-0.041
14	0.034	0.016	0.056	0.030	0.054	0.011	0.004	0.117	0.105
15	-0.103	-0.088	-0.055	-0.030	0.038	0.026	0.035	0.059	0.020
16	-0.112	-0.094	-0.080	-0.058	0.010	-0.000	0.009	-0.008	0.182
17	0.019	0.070	0.032	0.027	0.021	-0.027	-0.018	-0.001	-0.097
18	-0.070	-0.029	0.001	-0.067	-0.080	-0.028	-0.062	-0.049	0.048
19	-0.044	-0.032	-0.025	-0.042	-0.064	-0.071	-0.105	-0.093	-0.128
20	0.004	-0.008	0.027	-0.018	-0.047	0.003	0.022	0.046	0.112
21	0.009	0.025	0.071	0.075	0.103	0.107	0.132	0.106	0.086
22	-0.062	-0.080	-0.028	-0.059	-0.100	-0.109	-0.072	-0.047	-0.065
23	0.003	0.006	0.019	0.068	0.085	0.056	0.091	0.064	0.002
24	-0.040	-0.084	-0.003	-0.009	-0.082	-0.037	-0.032	-0.108	0.134
25	-0.047	-0.048	-0.013	-0.049	-0.066	-0.056	-0.036	-0.045	0.002
26	0.003	-0.005	-0.002	-0.069	-0.024	-0.031	-0.038	0.002	0.086
27	0.006	0.028	0.046	0.120	0.076	0.103	0.116	0.166	0.131
28	0.165	0.153	0.101	0.132	0.126	0.119	0.086	0.035	-0.119
29	0.128	0.134	0.068	0.085	0.092	0.069	0.061	0.030	0.064
30	0.083	0.084	0.081	0.099	0.096	0.027	0.040	0.070	0.039
31	0.037	0.025	0.006	0.044	0.034	0.046	-0.026	0.060	0.042
32	-0.014	0.033	0.016	-0.001	-0.015	0.005	-0.000	-0.040	-0.033
33	0.050	0.086	0.041	0.051	0.020	0.029	0.022	-0.009	-0.028
34	0.089	0.097	0.054	0.059	0.017	0.055	0.046	0.038	-0.056
35	0.033	0.078	0.061	0.042	0.018	0.075	0.060	0.082	0.001
36	-0.000	0.001	0.008	0.007	0.040	0.044	0.009	-0.002	-0.108
37	-0.067	-0.118	-0.143	-0.063	-0.029	-0.101	-0.079	-0.066	-0.020
38	0.035	-0.022	-0.062	-0.132	-0.079	-0.149	-0.107	-0.112	-0.039
39	-0.133	-0.125	-0.125	-0.138	-0.129	-0.102	-0.098	-0.125	-0.087
40	0.025	-0.028	0.015	0.001	0.011	0.036	0.034	0.024	0.065
dist2cax	81.299	61.131	40.815	20.583	0.435	-19.770	-39.768	-59.977	-80.405
