Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.789	0.211	-0.211
2	7	-0.500	0.436	0.936	-1.872
3	35	0.500	-0.395	-0.895	-1.790
4	23	-1.500	-1.192	0.308	-0.205
5	34	-0.500	-1.793	-1.293	2.586
6	3	1.000	-0.821	-1.821	-1.821
7	6	0.500	-0.506	-1.006	-2.012
8	11	-0.500	-0.450	0.050	-0.100
9	16	1.000	1.159	0.159	0.159
