Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.756	0.244	-0.244
2	7	-0.500	0.247	0.747	-1.494
3	35	0.500	-0.422	-0.922	-1.844
4	23	-1.500	1.290	2.790	-1.860
5	34	-0.500	-0.466	0.034	-0.068
6	3	1.000	-1.123	-2.123	-2.123
7	6	0.500	-0.467	-0.967	-1.934
8	11	-0.500	-0.551	-0.051	0.102
9	16	1.000	1.002	0.002	0.002
