Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.809	0.191	-0.191
2	7	-0.500	0.355	0.855	-1.710
3	35	0.500	-0.390	-0.890	-1.780
4	23	-1.500	-1.218	0.282	-0.188
5	34	-0.500	-1.850	-1.350	2.700
6	3	1.000	-0.852	-1.852	-1.852
7	6	0.500	-0.459	-0.959	-1.918
8	11	-0.500	-0.559	-0.059	0.118
9	16	1.000	1.083	0.083	0.083
