Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.139	0.107	0.072	0.047	0.026	0.068	0.072	0.173	0.159
 2	0.120	0.059	0.023	-0.001	-0.012	-0.006	-0.091	-0.080	-0.061
 3	0.108	0.136	0.075	0.110	0.127	0.090	0.029	0.021	-0.090
 4	-0.074	-0.078	-0.108	-0.156	-0.160	-0.099	-0.122	-0.142	0.031
 5	0.004	-0.042	-0.036	-0.023	-0.048	-0.045	-0.021	-0.047	-0.083
 6	0.010	0.010	0.007	-0.006	-0.029	-0.029	-0.061	-0.063	-0.101
 7	-0.062	-0.044	0.041	-0.009	0.008	0.035	-0.005	-0.010	0.039
 8	-0.098	-0.006	0.054	0.060	0.124	0.161	0.165	0.100	0.046
 9	0.040	0.063	0.004	-0.047	-0.030	-0.035	-0.039	-0.148	-0.115
10	-0.084	-0.029	-0.014	-0.031	-0.044	0.003	-0.006	0.002	-0.067
11	-0.060	-0.107	-0.083	-0.148	-0.141	-0.062	-0.003	-0.064	0.140
12	0.070	0.079	0.043	0.040	0.037	0.000	0.120	0.021	-0.036
13	-0.103	-0.136	-0.077	-0.015	0.016	-0.032	0.010	0.128	-0.006
14	0.013	-0.067	-0.020	-0.001	-0.036	-0.062	0.011	0.048	0.053
15	-0.018	-0.018	-0.051	0.050	0.036	0.014	0.025	0.050	0.000
16	-0.022	0.004	-0.053	0.009	-0.001	-0.028	0.023	-0.021	0.121
17	-0.001	0.024	0.056	-0.022	0.041	0.006	-0.052	-0.045	-0.104
18	-0.110	-0.116	-0.074	-0.045	-0.121	-0.066	-0.065	-0.094	-0.010
19	-0.042	-0.008	-0.069	-0.046	-0.053	-0.093	-0.080	-0.108	-0.128
20	0.035	0.058	0.052	0.095	0.017	0.042	0.031	0.115	0.026
21	0.021	0.039	0.063	0.091	0.091	0.077	0.101	0.154	0.095
22	-0.081	-0.094	-0.055	-0.062	-0.077	-0.114	-0.180	-0.108	-0.018
23	-0.017	-0.030	-0.007	0.040	0.054	0.008	0.056	0.047	-0.030
24	-0.037	-0.029	0.021	0.037	0.063	0.012	0.033	0.061	0.194
25	-0.084	-0.043	-0.025	-0.028	-0.018	-0.037	-0.048	-0.013	0.044
26	0.014	0.004	-0.015	0.021	0.053	-0.075	-0.056	0.018	0.076
27	-0.022	0.012	0.052	0.072	0.133	0.081	0.132	0.152	0.133
28	0.160	0.129	0.108	0.106	0.142	0.110	0.061	0.058	-0.135
29	0.115	0.129	0.078	0.050	0.079	0.072	0.082	0.063	0.110
30	0.069	0.067	0.064	0.056	0.092	0.052	0.064	0.060	0.004
31	0.051	0.034	0.044	0.017	0.038	0.117	0.046	-0.001	0.011
32	0.025	-0.031	-0.008	0.002	-0.081	0.005	-0.021	-0.069	-0.052
33	0.062	0.088	0.057	0.045	0.025	0.007	0.014	-0.040	0.036
34	0.056	-0.007	0.043	0.038	0.033	0.049	0.027	0.025	-0.024
35	0.022	0.070	0.019	0.048	0.047	0.052	0.053	0.091	0.055
36	0.018	-0.011	0.008	0.004	-0.009	0.014	0.028	0.004	-0.141
37	-0.073	-0.042	-0.075	-0.105	-0.055	-0.045	-0.058	-0.025	-0.011
38	0.042	0.068	-0.002	-0.095	-0.162	-0.089	-0.181	-0.173	-0.062
39	-0.113	-0.117	-0.130	-0.113	-0.137	-0.101	-0.099	-0.124	-0.109
40	-0.020	-0.054	-0.016	-0.020	-0.003	-0.000	0.065	0.040	0.074
dist2cax	81.688	61.501	41.210	21.019	0.868	-19.344	-39.477	-59.690	-79.967
