Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.217	0.170	0.120	0.063	0.009	0.248	0.192	0.239	0.028
 2	0.061	0.080	0.002	-0.008	-0.085	0.024	-0.036	-0.016	-0.156
 3	0.085	0.066	0.003	0.022	0.047	-0.845	0.104	0.053	0.021
 4	-0.021	-0.012	-0.075	-0.074	-0.086	0.012	0.012	-0.024	0.060
 5	-0.081	-0.027	-0.017	-0.039	-0.069	0.020	-0.029	-0.058	-0.136
 6	-0.000	0.013	-0.043	-0.045	-0.081	0.038	-0.504	-0.072	-0.075
 7	-0.083	-0.138	-0.107	-0.178	-0.099	-0.019	-0.092	-0.118	0.017
 8	-0.024	0.014	0.042	0.046	0.085	0.208	0.048	0.098	-0.042
 9	0.056	0.026	0.001	-0.038	0.037	0.064	-0.042	-0.055	-0.166
10	-0.076	-0.034	-0.061	-0.077	-0.072	-0.000	-0.013	-0.050	-0.111
11	-0.008	-0.035	-0.052	-0.162	-0.095	-0.013	-0.008	-0.534	-0.034
12	0.048	0.007	0.033	-0.015	0.020	0.077	0.093	0.025	0.008
13	-0.004	-0.087	-0.046	-0.016	0.050	0.041	0.093	0.149	-0.016
14	0.041	0.007	0.045	0.055	0.073	0.103	0.102	0.098	0.009
15	-0.081	-0.048	-0.031	-0.087	0.003	0.060	0.068	0.053	-0.041
16	-0.083	-0.090	-0.036	-0.023	-0.002	0.007	-0.001	0.007	1.121
17	0.029	-0.010	0.063	-0.023	0.074	0.046	-0.021	-0.016	-0.161
18	-0.021	-0.079	-0.006	-0.060	-0.018	-0.003	-0.020	-0.024	-0.043
19	-0.007	-0.048	0.042	-0.040	0.071	0.012	-0.026	0.029	-0.114
20	0.028	-0.041	0.023	0.005	0.035	-0.020	0.053	0.070	0.003
21	-0.088	-0.104	-0.045	-0.004	0.034	-0.038	-0.025	0.021	0.099
22	-0.009	-0.073	-0.031	-0.116	-0.001	-0.020	-0.086	-0.052	-0.112
23	0.011	-0.028	0.068	1.371	0.148	0.037	0.085	0.070	-0.037
24	-0.005	-0.159	0.029	-0.003	-0.001	-0.030	0.000	0.052	0.139
25	0.019	-0.096	0.015	-0.071	0.042	-0.034	-0.004	0.002	-0.004
26	0.011	-0.029	0.049	-0.060	0.115	-0.011	-0.015	-0.009	0.048
27	0.049	-0.001	0.098	0.080	0.215	0.098	0.149	0.167	0.102
28	0.264	0.159	0.186	0.166	0.267	0.163	0.092	0.115	-0.137
29	-0.856	1.011	0.041	0.050	0.196	0.048	0.032	0.054	0.025
30	-0.007	0.067	0.076	0.010	0.222	0.057	0.058	0.071	-0.039
31	0.061	-0.063	0.009	-0.068	0.117	0.039	-0.027	-0.062	0.119
32	0.058	-0.034	0.032	-0.022	0.112	0.022	0.037	-0.034	-0.009
33	0.126	0.048	0.110	0.013	0.164	0.023	0.002	-0.024	0.003
34	0.115	0.017	0.058	-0.006	-1.891	0.021	0.018	0.048	-0.028
35	0.125	0.020	-0.384	-0.002	-0.066	0.065	0.089	0.085	0.029
36	0.082	-0.030	0.010	-0.046	0.125	0.026	0.007	-0.007	-0.125
37	-0.032	-0.122	-0.054	-0.171	0.102	-0.103	-0.043	-0.024	-0.029
38	0.070	-0.043	-0.126	-0.142	0.020	-0.211	-0.170	-0.212	-0.084
39	-0.022	-0.116	-0.057	-0.157	0.082	-0.138	-0.111	-0.116	-0.088
40	0.031	-0.094	0.089	-0.069	0.190	-0.026	-0.008	0.057	0.021
dist2cax	81.864	61.625	41.344	21.153	1.080	-19.095	-39.315	-59.545	-79.912
