Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.738	0.262	-0.262
2	7	-0.500	0.393	0.893	-1.786
3	35	0.500	-0.404	-0.904	-1.808
4	23	-1.500	3.490	4.990	-3.327
5	34	-0.500	-0.649	-0.149	0.298
6	3	1.000	-0.636	-1.636	-1.636
7	6	0.500	-0.452	-0.952	-1.904
8	11	-0.500	-0.551	-0.051	0.102
9	16	1.000	1.048	0.048	0.048
