Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.856	0.144	-0.144
2	7	-0.500	-0.138	0.362	-0.724
3	35	0.500	-0.384	-0.884	-1.768
4	23	-1.500	1.371	2.871	-1.914
5	34	-0.500	-1.891	-1.391	2.782
6	3	1.000	-0.845	-1.845	-1.845
7	6	0.500	-0.504	-1.004	-2.008
8	11	-0.500	-0.534	-0.034	0.068
9	16	1.000	1.121	0.121	0.121
