Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.801	0.199	-0.199
2	7	-0.500	0.345	0.845	-1.690
3	35	0.500	-0.392	-0.892	-1.784
4	23	-1.500	-1.181	0.319	-0.213
5	34	-0.500	-1.791	-1.291	2.582
6	3	1.000	-0.827	-1.827	-1.827
7	6	0.500	-0.459	-0.959	-1.918
8	11	-0.500	-0.586	-0.086	0.172
9	16	1.000	1.166	0.166	0.166
