Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.819	0.181	-0.181
2	7	-0.500	0.324	0.824	-1.648
3	35	0.500	-0.408	-0.908	-1.816
4	23	-1.500	-1.194	0.306	-0.204
5	34	-0.500	-1.904	-1.404	2.808
6	3	1.000	-0.864	-1.864	-1.864
7	6	0.500	-0.474	-0.974	-1.948
8	11	-0.500	-0.582	-0.082	0.164
9	16	1.000	1.106	0.106	0.106
