Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.141	0.158	0.102	0.090	0.047	0.071	0.014	0.158	0.126
 2	0.099	0.026	0.036	0.006	0.014	0.031	0.101	0.112	0.039
 3	0.125	0.144	0.078	0.085	0.077	0.074	0.037	0.013	0.041
 4	0.024	0.041	0.096	0.145	0.142	0.081	0.055	0.074	0.047
 5	0.044	0.003	0.008	0.020	0.049	0.038	0.070	0.074	0.124
 6	0.017	0.034	0.057	0.045	0.044	0.038	0.047	0.092	0.050
 7	0.058	0.076	0.018	0.066	0.068	0.064	0.038	0.102	0.047
 8	0.023	0.021	0.040	0.021	0.080	0.099	0.046	0.131	0.023
 9	0.054	0.012	0.034	0.017	0.015	0.006	0.017	0.104	0.071
10	0.088	0.085	0.070	0.021	0.029	0.020	0.014	0.007	0.054
11	0.090	0.077	0.095	0.120	0.074	0.121	0.014	0.123	0.107
12	0.042	0.039	0.030	0.037	0.001	0.023	0.099	0.040	0.108
13	0.056	0.074	0.061	0.019	0.016	0.010	0.025	0.099	0.007
14	0.048	0.005	0.015	0.068	0.074	0.015	0.065	0.132	0.071
15	0.060	0.040	0.000	0.017	0.042	0.041	0.094	0.092	0.000
16	0.118	0.110	0.136	0.048	0.053	0.016	0.051	0.053	0.135
17	0.013	0.060	0.082	0.045	0.024	0.008	0.044	0.009	0.079
18	0.069	0.029	0.045	0.017	0.028	0.036	0.022	0.023	0.071
19	0.022	0.042	0.068	0.023	0.036	0.009	0.031	0.035	0.061
20	0.065	0.031	0.087	0.076	0.099	0.065	0.072	0.096	0.123
21	0.040	0.039	0.023	0.048	0.059	0.033	0.070	0.118	0.110
22	0.055	0.047	0.029	0.035	0.105	0.082	0.050	0.051	0.073
23	0.040	0.014	0.040	0.085	0.085	0.024	0.102	0.070	0.028
24	0.012	0.056	0.014	0.029	0.010	0.020	0.012	0.021	0.193
25	0.004	0.042	0.044	0.048	0.004	0.011	0.056	0.015	0.018
26	0.005	0.067	0.028	0.028	0.017	0.050	0.078	0.049	0.066
27	0.013	0.003	0.004	0.095	0.029	0.030	0.071	0.154	0.088
28	0.136	0.132	0.110	0.064	0.127	0.108	0.092	0.047	0.146
29	0.119	0.118	0.095	0.073	0.094	0.094	0.089	0.023	0.056
30	0.067	0.033	0.054	0.052	0.050	0.031	0.044	0.057	0.024
31	0.000	0.023	0.001	0.008	0.020	0.067	0.005	0.004	0.024
32	0.007	0.020	0.028	0.001	0.004	0.016	0.009	0.025	0.068
33	0.101	0.104	0.052	0.034	0.019	0.028	0.001	0.028	0.012
34	0.073	0.107	0.048	0.049	0.029	0.045	0.018	0.004	0.054
35	0.026	0.051	0.015	0.013	0.009	0.015	0.061	0.078	0.039
36	0.035	0.006	0.010	0.001	0.009	0.027	0.007	0.003	0.128
37	0.103	0.109	0.127	0.111	0.075	0.097	0.088	0.087	0.017
38	0.065	0.009	0.008	0.087	0.078	0.106	0.111	0.124	0.008
39	0.155	0.110	0.115	0.124	0.158	0.117	0.127	0.110	0.075
40	0.017	0.048	0.035	0.015	0.000	0.029	0.035	0.022	0.051
dist2cax	81.040	60.853	40.556	20.351	0.235	-19.928	-40.034	-60.234	-80.538
