Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.774	0.226	-0.226
2	7	-0.500	-0.148	0.352	-0.704
3	35	0.500	-0.431	-0.931	-1.862
4	23	-1.500	1.351	2.851	-1.901
5	34	-0.500	-1.651	-1.151	2.302
6	3	1.000	-0.837	-1.837	-1.837
7	6	0.500	-0.501	-1.001	-2.002
8	11	-0.500	-0.569	-0.069	0.138
9	16	1.000	1.028	0.028	0.028
