Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.112	0.113	0.062	0.071	0.012	0.034	0.054	0.129	0.131
 2	0.130	0.088	0.042	0.002	0.007	0.002	0.077	0.079	0.056
 3	0.118	0.071	0.076	0.127	0.124	0.150	0.091	0.071	0.044
 4	0.093	0.049	0.102	0.135	0.119	0.097	0.124	0.138	0.058
 5	0.006	0.034	0.003	0.020	0.067	0.059	0.023	0.018	0.118
 6	0.001	0.058	0.027	0.046	0.007	0.076	0.125	0.095	0.031
 7	0.064	0.055	0.014	0.134	0.009	0.085	0.028	0.048	0.040
 8	0.006	0.048	0.040	0.003	0.117	0.155	0.081	0.133	0.021
 9	0.001	0.015	0.008	0.038	0.004	0.033	0.007	0.087	0.080
10	0.073	0.029	0.012	0.034	0.024	0.034	0.009	0.020	0.096
11	0.023	0.041	0.108	0.041	0.128	0.029	0.005	0.077	0.070
12	0.015	0.040	0.033	0.052	0.048	0.043	0.099	0.018	0.001
13	0.013	0.122	0.064	0.015	0.009	0.004	0.029	0.093	0.016
14	0.002	0.029	0.066	0.040	0.055	0.008	0.060	0.072	0.040
15	0.130	0.122	0.084	0.085	0.016	0.012	0.020	0.122	0.049
16	0.041	0.042	0.049	0.023	0.002	0.031	0.010	0.037	0.150
17	0.008	0.055	0.025	0.033	0.055	0.005	0.045	0.045	0.127
18	0.105	0.051	0.037	0.048	0.083	0.103	0.065	0.081	0.025
19	0.037	0.050	0.055	0.029	0.069	0.069	0.074	0.107	0.107
20	0.030	0.046	0.029	0.080	0.021	0.086	0.119	0.033	0.115
21	0.016	0.026	0.084	0.076	0.093	0.061	0.086	0.099	0.131
22	0.105	0.062	0.044	0.091	0.084	0.088	0.110	0.072	0.047
23	0.025	0.023	0.013	0.034	0.031	0.014	0.059	0.056	0.024
24	0.013	0.051	0.022	0.093	0.112	0.012	0.033	0.070	0.241
25	0.028	0.006	0.034	0.043	0.025	0.009	0.001	0.015	0.047
26	0.046	0.043	0.021	0.013	0.001	0.101	0.047	0.019	0.039
27	0.004	0.059	0.069	0.077	0.106	0.077	0.107	0.127	0.117
28	0.190	0.168	0.098	0.088	0.153	0.098	0.055	0.049	0.127
29	0.095	0.120	0.054	0.027	0.061	0.070	0.036	0.027	0.071
30	0.086	0.096	0.086	0.042	0.092	0.058	0.035	0.062	0.019
31	0.006	0.017	0.010	0.001	0.035	0.041	0.004	0.011	0.032
32	0.050	0.048	0.014	0.034	0.035	0.031	0.003	0.022	0.078
33	0.091	0.103	0.081	0.029	0.029	0.030	0.014	0.013	0.010
34	0.062	0.042	0.027	0.024	0.040	0.040	0.040	0.052	0.057
35	0.037	0.025	0.008	0.005	0.005	0.078	0.064	0.055	0.072
36	0.024	0.032	0.035	0.042	0.016	0.024	0.006	0.003	0.151
37	0.031	0.074	0.081	0.075	0.053	0.046	0.066	0.066	0.012
38	0.018	0.012	0.039	0.104	0.096	0.141	0.135	0.180	0.012
39	0.147	0.122	0.094	0.127	0.101	0.096	0.116	0.104	0.058
40	0.018	0.015	0.024	0.049	0.032	0.001	0.049	0.065	0.026
dist2cax	81.610	61.406	41.131	20.948	0.802	-19.399	-39.536	-59.733	-79.990
