Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.184	0.226	0.092	0.077	0.009	0.171	0.145	0.233	0.042
 2	0.089	0.057	-0.064	-0.031	-0.083	0.077	-0.009	-0.052	-0.136
 3	0.128	0.128	0.017	0.107	0.090	-0.837	0.110	0.080	0.010
 4	0.031	0.013	-0.013	-0.032	-0.064	0.035	-0.010	-0.007	-0.026
 5	-0.054	-0.018	-0.019	-0.023	-0.063	0.006	-0.015	-0.050	-0.185
 6	0.039	0.051	-0.017	-0.068	-0.019	0.066	-0.501	-0.095	-0.010
 7	-0.101	-0.148	-0.095	-0.138	-0.053	-0.016	-0.094	-0.113	-0.007
 8	-0.073	-0.036	0.002	-0.027	-0.042	0.166	0.059	0.098	-0.014
 9	0.073	0.042	0.037	-0.021	-0.107	0.048	0.050	-0.036	-0.191
10	-0.037	-0.024	-0.020	-0.048	-0.058	0.064	-0.014	0.012	-0.132
11	-0.095	-0.120	-0.095	-0.180	-0.137	-0.008	-0.030	-0.569	-0.019
12	-0.069	0.011	-0.021	-0.078	0.045	-0.003	0.048	-0.044	-0.002
13	-0.004	-0.092	-0.035	-0.043	-0.019	0.057	0.063	0.162	-0.015
14	0.079	0.014	0.059	0.069	0.127	0.111	0.076	0.133	0.054
15	-0.132	-0.125	-0.060	-0.052	0.032	0.046	0.073	0.113	0.021
16	-0.066	-0.098	-0.045	-0.091	-0.027	0.027	-0.045	-0.012	1.028
17	0.048	0.001	0.080	0.050	0.098	0.061	-0.011	0.007	-0.074
18	-0.052	-0.135	0.006	-0.036	0.048	-0.002	0.024	-0.043	-0.022
19	0.010	-0.056	0.056	-0.039	0.010	0.033	0.025	0.005	-0.066
20	0.016	-0.048	0.077	-0.026	0.075	0.007	0.084	0.047	0.029
21	-0.069	-0.106	-0.005	-0.052	0.047	-0.019	-0.010	0.041	0.047
22	-0.027	-0.071	-0.059	-0.134	0.016	-0.049	-0.071	-0.034	-0.104
23	0.003	-0.074	0.060	1.351	0.121	0.065	0.087	0.075	-0.049
24	-0.015	-0.149	0.025	-0.045	0.057	-0.039	0.013	-0.000	0.110
25	0.031	-0.067	0.025	-0.069	0.062	-0.019	-0.031	-0.030	0.048
26	0.040	-0.023	0.030	-0.027	0.054	-0.074	-0.032	-0.042	0.033
27	0.052	-0.028	0.029	-0.002	0.187	0.072	0.090	0.112	0.063
28	0.273	0.193	0.170	0.085	0.255	0.136	0.077	0.093	-0.203
29	-0.774	1.089	0.096	0.062	0.254	0.109	0.065	0.095	0.032
30	-0.064	0.092	0.100	0.058	0.220	0.078	0.056	0.117	0.037
31	0.062	-0.045	0.023	-0.063	0.102	-0.029	-0.029	-0.045	0.136
32	0.036	-0.064	0.031	-0.004	0.148	0.047	-0.005	-0.033	-0.017
33	0.125	0.051	0.070	0.027	0.136	0.014	0.032	0.027	0.003
34	0.162	0.035	0.117	0.010	-1.651	0.038	0.041	0.023	-0.055
35	0.097	-0.025	-0.431	0.026	-0.222	0.046	0.053	0.107	0.029
36	0.049	-0.053	-0.032	-0.035	0.173	-0.029	-0.043	0.001	-0.156
37	-0.030	-0.157	-0.092	-0.128	0.087	-0.075	-0.073	-0.074	-0.052
38	0.120	0.008	-0.016	-0.187	-0.048	-0.166	-0.139	-0.188	-0.080
39	-0.021	-0.128	-0.031	-0.152	0.043	-0.127	-0.101	-0.113	-0.074
40	0.013	-0.054	0.023	-0.027	0.187	-0.039	0.048	0.052	0.031
dist2cax	81.950	61.766	41.515	21.225	1.176	-19.125	-39.321	-59.469	-79.842
