Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.762	0.238	-0.238
2	7	-0.500	0.317	0.817	-1.634
3	35	0.500	-0.421	-0.921	-1.842
4	23	-1.500	1.278	2.778	-1.852
5	34	-0.500	-0.390	0.110	-0.220
6	3	1.000	-1.130	-2.130	-2.130
7	6	0.500	-0.493	-0.993	-1.986
8	11	-0.500	-0.463	0.037	-0.074
9	16	1.000	1.038	0.038	0.038
