Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	29	-1.000	-0.814	0.186	-0.186
2	7	-0.500	-0.019	0.481	-0.962
3	35	0.500	-0.448	-0.948	-1.896
4	23	-1.500	1.405	2.905	-1.937
5	34	-0.500	-1.914	-1.414	2.828
6	3	1.000	-0.870	-1.870	-1.870
7	6	0.500	-0.502	-1.002	-2.004
8	11	-0.500	-0.520	-0.020	0.040
9	16	1.000	1.014	0.014	0.014
