Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.177	0.137	0.068	0.083	0.034	0.235	0.170	0.249	0.061
 2	0.088	0.068	0.009	0.037	0.071	0.006	0.048	0.063	0.135
 3	0.084	0.121	0.073	0.056	0.040	0.870	0.079	0.068	0.038
 4	0.028	0.047	0.076	0.121	0.118	0.000	0.002	0.048	0.047
 5	0.043	0.036	0.067	0.098	0.096	0.019	0.086	0.048	0.114
 6	0.009	0.009	0.037	0.032	0.072	0.033	0.502	0.053	0.059
 7	0.033	0.019	0.016	0.039	0.034	0.086	0.013	0.019	0.039
 8	0.047	0.011	0.003	0.008	0.096	0.215	0.145	0.115	0.029
 9	0.013	0.051	0.006	0.006	0.008	0.029	0.007	0.024	0.169
10	0.080	0.050	0.020	0.076	0.076	0.019	0.007	0.032	0.118
11	0.019	0.030	0.057	0.103	0.020	0.033	0.065	0.520	0.021
12	0.019	0.030	0.021	0.018	0.039	0.080	0.087	0.072	0.026
13	0.004	0.111	0.089	0.071	0.009	0.078	0.061	0.123	0.043
14	0.006	0.033	0.022	0.036	0.052	0.094	0.077	0.159	0.056
15	0.020	0.104	0.050	0.009	0.005	0.048	0.002	0.027	0.088
16	0.044	0.053	0.024	0.067	0.013	0.003	0.010	0.033	1.014
17	0.039	0.009	0.061	0.020	0.101	0.047	0.033	0.005	0.152
18	0.034	0.099	0.004	0.059	0.013	0.025	0.046	0.089	0.034
19	0.015	0.054	0.020	0.056	0.029	0.026	0.038	0.060	0.165
20	0.061	0.041	0.085	0.003	0.110	0.058	0.109	0.078	0.094
21	0.163	0.206	0.151	0.191	0.026	0.084	0.123	0.064	0.094
22	0.037	0.078	0.016	0.056	0.031	0.014	0.090	0.033	0.138
23	0.033	0.030	0.068	1.405	0.160	0.060	0.109	0.078	0.030
24	0.058	0.128	0.067	0.049	0.110	0.046	0.024	0.057	0.175
25	0.031	0.089	0.024	0.018	0.061	0.017	0.030	0.020	0.019
26	0.062	0.046	0.020	0.042	0.049	0.036	0.018	0.017	0.001
27	0.065	0.004	0.070	0.073	0.218	0.081	0.154	0.154	0.090
28	0.213	0.166	0.204	0.090	0.246	0.170	0.137	0.067	0.112
29	0.814	1.054	0.104	0.013	0.137	0.040	0.027	0.023	0.066
30	0.014	0.053	0.086	0.011	0.189	0.011	0.069	0.062	0.008
31	0.063	0.003	0.068	0.059	0.156	0.035	0.003	0.015	0.072
32	0.067	0.023	0.013	0.015	0.126	0.006	0.003	0.003	0.048
33	0.108	0.021	0.086	0.028	0.162	0.013	0.006	0.010	0.014
34	0.058	0.040	0.017	0.028	1.914	0.012	0.002	0.022	0.059
35	0.061	0.029	0.448	0.024	0.009	0.002	0.005	0.072	0.053
36	0.077	0.041	0.039	0.008	0.118	0.036	0.014	0.013	0.154
37	0.011	0.137	0.055	0.150	0.083	0.115	0.071	0.062	0.019
38	0.130	0.015	0.046	0.118	0.017	0.147	0.124	0.115	0.046
39	0.019	0.097	0.038	0.140	0.078	0.054	0.088	0.079	0.107
40	0.027	0.093	0.058	0.021	0.201	0.019	0.055	0.046	0.031
dist2cax	81.720	61.457	41.226	21.000	0.934	-19.216	-39.477	-59.634	-79.925
