Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
11	0.032	0.058	0.023	0.019	0.022	0.057	0.041	0.005	0.101
12	0.074	0.053	0.043	0.003	0.001	0.016	0.013	0.066	0.095
13	0.082	0.043	0.147	0.101	0.011	0.042	0.066	0.047	0.085
14	0.008	0.098	0.028	0.045	0.086	0.026	0.046	0.050	0.097
15	0.006	0.093	0.060	0.083	0.009	0.047	0.051	0.001	0.065
16	0.075	0.028	0.035	0.008	0.047	0.050	0.032	0.056	0.092
17	0.085	0.147	0.046	0.010	0.042	0.083	0.027	0.015	0.040
18	0.103	0.136	0.013	0.076	0.019	0.060	0.003	0.060	0.021
19	0.003	0.065	0.088	0.047	0.008	0.066	0.041	0.088	0.161
20	0.027	0.059	0.022	0.001	0.024	0.043	0.049	0.015	0.019
21	0.116	0.070	0.030	0.006	0.032	0.012	0.010	0.021	0.029
22	0.002	0.015	0.009	0.034	0.017	0.004	0.005	0.078	0.052
23	0.048	0.078	0.031	0.066	0.009	0.013	0.021	0.023	0.141
24	0.167	0.010	0.096	0.157	0.027	0.004	0.030	0.024	0.094
25	0.128	0.003	0.140	0.097	0.029	0.076	0.045	0.026	0.013
26	0.128	0.070	0.061	0.002	0.011	0.068	0.004	0.013	0.130
27	0.115	0.151	0.047	0.033	0.102	0.048	0.067	0.127	0.051
28	0.076	0.043	0.015	0.016	0.017	0.100	0.061	0.019	0.000
29	0.012	0.043	0.023	0.090	0.035	0.057	0.065	0.056	0.044
30	0.074	0.079	0.040	0.075	0.143	0.056	0.033	0.045	0.021
