Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.066	0.013	0.132	0.054	0.060	0.028	0.055	0.013	0.121
12	0.026	0.034	0.059	0.024	0.000	0.014	0.006	0.015	0.102
13	0.080	0.116	0.013	0.022	0.013	0.016	0.065	0.066	0.104
14	0.040	0.090	0.026	0.054	0.049	0.078	0.011	0.043	0.009
15	0.037	0.008	0.101	0.069	0.053	0.022	0.039	0.015	0.042
16	0.020	0.072	0.076	0.036	0.030	0.004	0.010	0.013	0.073
17	0.116	0.074	0.103	0.073	0.118	0.008	0.019	0.008	0.042
18	0.102	0.127	0.107	0.062	0.010	0.040	0.001	0.038	0.002
19	0.088	0.061	0.010	0.009	0.021	0.089	0.079	0.125	0.130
20	0.024	0.066	0.040	0.046	0.028	0.020	0.015	0.024	0.042
21	0.035	0.083	0.011	0.025	0.024	0.017	0.069	0.046	0.001
22	0.018	0.031	0.027	0.041	0.014	0.016	0.043	0.069	0.035
23	0.094	0.140	0.045	0.015	0.026	0.004	0.052	0.021	0.107
24	0.035	0.149	0.006	0.051	0.025	0.022	0.030	0.026	0.065
25	0.043	0.039	0.030	0.154	0.010	0.033	0.002	0.015	0.011
26	0.072	0.164	0.044	0.026	0.092	0.035	0.044	0.025	0.123
27	0.076	0.097	0.058	0.028	0.148	0.108	0.049	0.116	0.045
28	0.079	0.002	0.016	0.007	0.016	0.092	0.050	0.061	0.044
29	0.010	0.028	0.089	0.098	0.023	0.002	0.082	0.056	0.070
30	0.052	0.108	0.033	0.103	0.129	0.072	0.045	0.080	0.016
