Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.026	0.020	0.051	0.015	0.042	0.037	0.040	0.021	0.108
12	0.054	0.001	0.033	0.032	0.010	0.011	0.051	0.037	0.041
13	0.101	0.059	0.114	0.087	0.033	0.023	0.067	0.070	0.089
14	0.011	0.066	0.023	0.013	0.071	0.012	0.064	0.059	0.078
15	0.027	0.072	0.027	0.088	0.002	0.010	0.041	0.044	0.052
16	0.065	0.033	0.038	0.020	0.045	0.035	0.029	0.053	0.074
17	0.102	0.072	0.052	0.016	0.079	0.057	0.004	0.029	0.017
18	0.095	0.093	0.022	0.033	0.023	0.004	0.010	0.056	0.030
19	0.053	0.024	0.061	0.050	0.007	0.024	0.053	0.099	0.139
20	0.069	0.063	0.019	0.006	0.038	0.022	0.047	0.023	0.087
21	0.137	0.065	0.033	0.013	0.016	0.041	0.005	0.031	0.001
22	0.010	0.029	0.004	0.023	0.008	0.045	0.010	0.071	0.033
23	0.081	0.034	0.027	0.048	0.009	0.006	0.028	0.060	0.146
24	0.129	0.054	0.132	0.089	0.001	0.003	0.033	0.026	0.097
25	0.126	0.000	0.057	0.033	0.037	0.081	0.035	0.010	0.026
26	0.131	0.055	0.054	0.019	0.017	0.078	0.044	0.005	0.116
27	0.092	0.112	0.021	0.016	0.136	0.000	0.088	0.124	0.056
28	0.102	0.039	0.020	0.013	0.024	0.086	0.056	0.009	0.025
29	0.007	0.004	0.077	0.093	0.012	0.061	0.052	0.047	0.047
30	0.074	0.110	0.026	0.071	0.136	0.037	0.020	0.011	0.014
