Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.036	0.002	0.107	0.051	0.016	0.019	0.072	0.051	0.136
12	0.028	0.036	0.051	0.011	0.005	0.038	0.012	0.011	0.049
13	0.093	0.114	0.023	0.040	0.008	0.059	0.056	0.046	0.103
14	0.013	0.094	0.001	0.018	0.088	0.076	0.006	0.017	0.034
15	0.003	0.014	0.079	0.088	0.030	0.044	0.034	0.022	0.045
16	0.056	0.087	0.077	0.007	0.004	0.016	0.019	0.055	0.057
17	0.095	0.027	0.068	0.095	0.112	0.004	0.002	0.025	0.008
18	0.070	0.150	0.084	0.068	0.060	0.030	0.012	0.010	0.041
19	0.073	0.072	0.017	0.022	0.050	0.029	0.063	0.098	0.151
20	0.002	0.070	0.037	0.052	0.028	0.025	0.033	0.015	0.064
21	0.041	0.077	0.014	0.002	0.056	0.013	0.084	0.020	0.016
22	0.033	0.039	0.024	0.065	0.008	0.014	0.006	0.046	0.029
23	0.056	0.128	0.022	0.029	0.057	0.023	0.047	0.080	0.127
24	0.091	0.098	0.037	0.075	0.017	0.061	0.028	0.089	0.062
25	0.069	0.056	0.080	0.120	0.023	0.091	0.011	0.010	0.016
26	0.071	0.140	0.045	0.037	0.074	0.021	0.011	0.038	0.102
27	0.043	0.104	0.093	0.066	0.124	0.113	0.048	0.172	0.055
28	0.047	0.008	0.006	0.025	0.026	0.094	0.065	0.033	0.008
29	0.022	0.036	0.082	0.124	0.038	0.012	0.093	0.037	0.041
30	0.036	0.091	0.010	0.066	0.123	0.027	0.069	0.063	0.012
