Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.026	0.002	0.119	0.069	0.041	0.030	0.054	0.000	0.133
12	0.020	0.042	0.054	0.003	0.009	0.004	0.015	0.004	0.078
13	0.071	0.112	0.011	0.018	0.007	0.029	0.048	0.058	0.094
14	0.027	0.064	0.005	0.079	0.055	0.083	0.024	0.027	0.021
15	0.025	0.028	0.083	0.045	0.028	0.039	0.051	0.031	0.039
16	0.041	0.073	0.080	0.053	0.042	0.011	0.029	0.065	0.072
17	0.101	0.025	0.140	0.091	0.126	0.036	0.015	0.010	0.009
18	0.081	0.140	0.093	0.046	0.042	0.053	0.011	0.006	0.029
19	0.094	0.088	0.004	0.025	0.042	0.080	0.075	0.106	0.129
20	0.047	0.106	0.005	0.063	0.012	0.012	0.018	0.024	0.055
21	0.033	0.076	0.010	0.007	0.063	0.032	0.109	0.014	0.006
22	0.037	0.042	0.006	0.022	0.018	0.011	0.013	0.049	0.017
23	0.071	0.147	0.005	0.013	0.000	0.014	0.060	0.045	0.119
24	0.060	0.086	0.016	0.060	0.012	0.059	0.031	0.047	0.081
25	0.087	0.027	0.014	0.112	0.008	0.078	0.021	0.008	0.005
26	0.051	0.125	0.065	0.001	0.076	0.017	0.016	0.054	0.105
27	0.041	0.103	0.077	0.055	0.124	0.114	0.033	0.141	0.049
28	0.053	0.014	0.008	0.005	0.015	0.126	0.059	0.009	0.042
29	0.065	0.016	0.081	0.083	0.029	0.040	0.057	0.036	0.069
30	0.051	0.086	0.026	0.093	0.100	0.011	0.025	0.084	0.007
