Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.076	0.014	0.045	0.018	0.033	0.030	0.061	0.021	0.110
12	0.063	0.036	0.020	0.039	0.004	0.009	0.065	0.028	0.054
13	0.062	0.072	0.107	0.053	0.024	0.037	0.054	0.088	0.067
14	0.017	0.099	0.022	0.012	0.034	0.024	0.059	0.054	0.103
15	0.029	0.068	0.077	0.066	0.032	0.030	0.005	0.020	0.053
16	0.069	0.031	0.020	0.020	0.004	0.021	0.004	0.078	0.046
17	0.097	0.151	0.047	0.011	0.024	0.061	0.009	0.002	0.008
18	0.088	0.077	0.036	0.052	0.035	0.042	0.015	0.041	0.013
19	0.018	0.072	0.023	0.046	0.019	0.025	0.039	0.055	0.142
20	0.067	0.029	0.030	0.000	0.006	0.002	0.045	0.006	0.053
21	0.081	0.063	0.010	0.008	0.020	0.055	0.057	0.050	0.002
22	0.007	0.003	0.006	0.018	0.014	0.022	0.002	0.077	0.000
23	0.044	0.077	0.015	0.050	0.005	0.003	0.003	0.031	0.172
24	0.127	0.053	0.094	0.123	0.036	0.023	0.031	0.023	0.072
25	0.116	0.032	0.076	0.067	0.030	0.080	0.029	0.052	0.011
26	0.127	0.046	0.035	0.024	0.001	0.045	0.022	0.023	0.126
27	0.116	0.119	0.087	0.035	0.101	0.005	0.080	0.162	0.060
28	0.014	0.025	0.033	0.007	0.022	0.078	0.033	0.013	0.007
29	0.028	0.003	0.089	0.100	0.003	0.080	0.058	0.028	0.046
30	0.055	0.119	0.027	0.058	0.125	0.051	0.004	0.020	0.024
