Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
11	0.039	0.032	0.124	0.080	0.053	0.030	0.061	0.005	0.118
12	0.040	0.058	0.067	0.010	0.013	0.004	0.014	0.013	0.095
13	0.066	0.089	0.029	0.004	0.024	0.030	0.042	0.061	0.095
14	0.037	0.067	0.009	0.073	0.054	0.080	0.009	0.018	0.032
15	0.023	0.022	0.094	0.060	0.023	0.015	0.058	0.020	0.038
16	0.044	0.074	0.092	0.055	0.038	0.020	0.032	0.062	0.084
17	0.100	0.027	0.144	0.094	0.132	0.026	0.017	0.001	0.009
18	0.084	0.144	0.095	0.049	0.037	0.050	0.006	0.016	0.022
19	0.091	0.084	0.002	0.029	0.042	0.075	0.070	0.094	0.129
20	0.047	0.104	0.004	0.069	0.011	0.005	0.019	0.028	0.063
21	0.033	0.079	0.001	0.018	0.059	0.025	0.107	0.007	0.007
22	0.040	0.051	0.002	0.023	0.017	0.013	0.015	0.064	0.028
23	0.088	0.152	0.014	0.014	0.008	0.000	0.067	0.043	0.117
24	0.061	0.099	0.014	0.065	0.006	0.056	0.032	0.050	0.085
25	0.085	0.040	0.016	0.126	0.002	0.071	0.019	0.013	0.002
26	0.067	0.124	0.057	0.005	0.078	0.021	0.027	0.061	0.116
27	0.049	0.096	0.081	0.065	0.131	0.111	0.025	0.140	0.044
28	0.062	0.011	0.000	0.008	0.008	0.122	0.057	0.004	0.046
29	0.068	0.020	0.082	0.080	0.027	0.046	0.066	0.031	0.076
30	0.048	0.088	0.028	0.097	0.101	0.012	0.027	0.080	0.003
