Leaf	Picket 1	Picket 2	Picket 3	Picket 4	Picket 5	Picket 6	Picket 7	Picket 8	Picket 9
11	0.001	0.021	0.037	0.007	0.027	0.018	0.023	0.002	0.126
12	0.055	0.010	0.032	0.050	0.005	0.011	0.047	0.041	0.055
13	0.085	0.057	0.120	0.065	0.019	0.021	0.059	0.100	0.066
14	0.010	0.071	0.006	0.007	0.077	0.010	0.080	0.021	0.075
15	0.002	0.072	0.005	0.050	0.013	0.000	0.031	0.023	0.096
16	0.064	0.031	0.054	0.015	0.020	0.035	0.038	0.056	0.068
17	0.113	0.117	0.033	0.006	0.075	0.033	0.016	0.045	0.041
18	0.077	0.098	0.042	0.065	0.028	0.045	0.031	0.045	0.023
19	0.001	0.031	0.066	0.056	0.013	0.042	0.022	0.115	0.178
20	0.072	0.022	0.015	0.003	0.005	0.018	0.059	0.024	0.064
21	0.087	0.042	0.001	0.008	0.030	0.022	0.037	0.043	0.019
22	0.007	0.018	0.016	0.008	0.021	0.054	0.000	0.070	0.016
23	0.053	0.065	0.019	0.035	0.015	0.021	0.009	0.046	0.139
24	0.134	0.040	0.102	0.119	0.019	0.024	0.033	0.026	0.041
25	0.149	0.029	0.071	0.043	0.016	0.130	0.032	0.043	0.015
26	0.116	0.044	0.045	0.031	0.018	0.057	0.047	0.010	0.114
27	0.101	0.123	0.052	0.024	0.128	0.031	0.094	0.129	0.040
28	0.093	0.050	0.031	0.002	0.015	0.083	0.048	0.017	0.004
29	0.000	0.016	0.059	0.101	0.010	0.031	0.082	0.051	0.026
30	0.061	0.085	0.025	0.055	0.136	0.055	0.026	0.017	0.027
