Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
11	0.050	0.020	0.104	0.074	0.019	0.020	0.067	0.037	0.123
12	0.046	0.058	0.066	0.008	0.006	0.026	0.002	0.010	0.073
13	0.090	0.101	0.030	0.029	0.019	0.062	0.052	0.052	0.115
14	0.018	0.108	0.007	0.006	0.089	0.081	0.017	0.016	0.033
15	0.004	0.011	0.087	0.094	0.026	0.041	0.041	0.032	0.048
16	0.061	0.085	0.086	0.005	0.014	0.017	0.028	0.055	0.066
17	0.091	0.028	0.074	0.103	0.113	0.002	0.006	0.020	0.005
18	0.076	0.160	0.085	0.082	0.055	0.034	0.013	0.008	0.042
19	0.085	0.073	0.020	0.018	0.045	0.024	0.064	0.097	0.147
20	0.005	0.076	0.039	0.059	0.034	0.028	0.039	0.021	0.067
21	0.048	0.089	0.013	0.001	0.053	0.024	0.084	0.016	0.017
22	0.036	0.036	0.018	0.059	0.003	0.006	0.009	0.038	0.045
23	0.058	0.137	0.025	0.024	0.060	0.013	0.051	0.076	0.122
24	0.092	0.102	0.031	0.087	0.019	0.063	0.036	0.083	0.064
25	0.065	0.051	0.063	0.135	0.028	0.081	0.003	0.015	0.004
26	0.070	0.125	0.056	0.013	0.075	0.013	0.013	0.040	0.097
27	0.040	0.113	0.079	0.063	0.131	0.110	0.047	0.181	0.059
28	0.054	0.004	0.003	0.021	0.018	0.099	0.052	0.023	0.022
29	0.038	0.042	0.075	0.119	0.043	0.014	0.107	0.034	0.039
30	0.042	0.096	0.011	0.064	0.123	0.026	0.068	0.065	0.013
