Data	Iso Gantry	Iso Colimador	Iso Gantry e Colimador	Iso Mesa	G0C0T0	G90C0T0	G180C0T0	G0C270T0	G270C0T0	G0C90T0	G0C180T0	G0C0T270	G0C0T90
2020-11-16	1.250	0.338	1.589	1.278	-0.152	-0.402	1.072	-0.335	0.507	-0.483	-0.351	-0.397	-0.933
2020-11-17	1.200	0.364	1.527	0.938	0.043	-0.437	1.164	-0.117	0.715	-0.238	-0.362	0.252	-0.681
2020-11-18	1.115	0.444	1.553	1.227	-0.111	-0.695	1.139	-0.235	0.551	-0.332	-0.363	0.296	-0.920
2020-11-19	1.180	0.303	1.465	0.875	-0.199	-0.326	0.978	-0.332	0.442	-0.459	-0.470	0.120	-0.676
2020-11-20	1.093	0.506	1.410	0.936	-0.467	-0.562	0.618	-0.513	0.349	-0.729	-0.617	-0.591	-0.624
2020-11-23	1.224	0.310	1.424	1.478	0.243	0.712	1.460	0.214	0.787	0.041	0.049	0.459	-1.016
2020-11-24	1.151	0.370	1.464	1.098	0.133	-0.584	1.139	-0.165	0.591	-0.278	-0.171	-0.455	-0.921
2020-11-24	1.234	0.483	1.385	0.555	-0.457	-0.501	0.718	-0.381	0.398	-0.662	0.000	-0.603	-0.603
2020-11-25	1.146	0.234	1.154	1.180	-0.552	-0.513	0.594	-0.408	0.422	-0.539	-0.541	-0.517	-0.688
2020-11-26	1.286	0.156	1.306	1.498	0.337	-0.709	1.314	0.309	0.781	0.345	0.393	-0.520	-0.923
2020-11-26	1.200	0.547	1.740	0.903	-0.621	-0.262	0.560	-1.048	-0.099	-1.168	-0.884	-0.682	-0.695
2020-11-27	1.164	0.481	1.563	1.150	-0.361	-0.684	0.744	-0.689	0.204	-0.795	-0.373	-0.986	-0.968
2020-11-27	0.932	0.730	1.626	0.994	-0.379	-0.330	0.466	-0.993	-0.142	-1.105	-0.857	-0.760	-0.763
2020-11-30	1.219	0.448	1.489	0.669	-0.822	-0.787	0.369	-0.940	0.224	-1.091	-0.695	-0.772	-0.718
2020-11-30	1.179	0.389	1.566	1.283	-0.532	-0.681	0.635	-0.780	0.193	-0.908	-0.665	-0.886	-0.806
2020-12-01	1.166	0.617	1.749	1.024	-0.157	-0.551	0.993	-0.609	0.364	-0.685	-0.610	-0.558	-0.878
2020-12-02	1.133	0.721	1.747	0.984	-0.526	-0.608	0.608	-0.971	0.076	-1.074	-0.776	-0.606	-0.818
2020-12-02	1.220	0.396	1.605	1.225	-0.632	-0.543	0.567	-0.978	-0.197	-0.987	-0.711	-0.737	-0.926
2020-12-03	1.108	0.411	1.487	1.543	0.328	-0.541	1.057	0.250	0.617	-0.369	0.196	-0.763	-1.074
2020-12-04	1.205	0.348	1.300	1.216	-0.485	-0.942	0.716	-0.359	0.449	-0.539	-0.363	-0.767	-0.866
2020-12-07	1.036	0.603	1.596	1.426	0.259	-0.592	0.951	-0.529	0.445	-0.613	-0.450	-0.698	-1.032
2020-12-08	1.273	0.319	1.417	1.323	-0.547	-0.542	0.598	-0.587	0.496	-0.712	-0.433	-0.864	-0.757
2020-12-09	1.170	0.493	1.659	0.867	-0.636	-0.717	0.491	-1.015	0.036	-1.127	-0.708	-0.875	-0.814
2020-12-09	1.038	0.519	1.533	1.036	-0.508	-0.535	0.435	-0.972	0.080	-1.026	-0.744	-0.742	-0.858
2020-12-10	1.252	0.410	1.664	1.510	-0.199	-0.423	0.969	-0.498	0.418	-0.605	-0.261	-0.839	-1.179
2020-12-10	1.324	0.392	1.599	1.076	-0.573	-0.384	-0.623	-0.711	-0.241	-0.937	-0.574	-0.902	-0.829
2020-12-11	1.221	0.535	1.753	1.549	-0.336	0.088	0.819	-0.585	-0.692	-0.818	-0.597	-0.860	-1.118
2020-12-14	1.213	0.572	1.397	1.730	-0.232	-0.437	0.887	-0.509	0.460	-0.415	-0.251	-0.746	-1.234
2020-12-14	1.433	0.377	1.792	1.009	-0.578	-0.777	0.785	-0.830	0.259	-0.918	-0.709	-0.652	-0.813
2020-12-15	1.205	0.405	1.608	1.610	-0.139	-0.794	1.072	-0.382	0.647	-0.452	-0.338	0.405	-1.204
2020-12-16	1.236	0.483	1.600	1.506	-0.240	-0.364	0.878	-0.435	0.297	-0.685	-0.275	-0.848	-1.110
2020-12-16	1.212	0.381	1.571	0.547	-0.478	-0.527	0.675	-0.801	-0.046	-0.858	-0.622	-0.365	-0.260
2020-12-16	1.181	0.374	1.549	0.337	-0.552	-0.386	0.595	-0.858	-0.204	-0.926	-0.654	-0.244	-0.515
2020-12-16	1.213	0.275	1.473	0.949	-0.595	-0.417	0.589	-0.690	-0.156	-0.812	-0.614	-0.497	-0.805
