Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	-0.048	-0.030	0.013	0.035	-0.018	-0.011	0.082	0.040	0.135
 2	0.048	-0.054	0.053	-0.010	0.137	-0.010	-0.004	0.110	0.011
 3	0.079	-0.030	-0.006	-0.009	0.068	-0.057	0.018	0.010	-0.038
 4	-0.046	-0.068	-0.086	0.009	-0.100	-0.073	-0.060	-0.066	-0.038
 5	-0.048	0.003	0.055	0.083	-0.026	0.037	-0.039	0.072	0.004
 6	-0.030	0.001	0.016	-0.035	0.035	0.047	-0.012	0.032	-0.063
 7	-0.044	-0.024	-0.021	-0.046	-0.056	-0.035	-0.082	-0.109	-0.073
 8	-0.051	-0.024	-0.040	-0.035	-0.157	-0.097	-0.110	-0.151	-0.154
 9	0.049	0.047	-0.003	-0.035	-0.020	0.015	0.027	-0.024	-0.110
10	0.020	0.090	-0.044	-0.058	-0.017	0.071	0.008	-0.048	0.064
11	0.038	0.108	-0.053	-0.042	0.021	0.102	0.112	0.019	0.191
12	0.045	0.076	-0.020	0.029	0.038	0.029	0.016	-0.011	0.065
13	0.020	-0.013	0.061	0.081	0.050	0.013	0.031	0.009	-0.023
14	-0.013	-0.071	0.033	-0.023	-0.037	0.105	0.011	0.029	0.038
15	-0.052	0.039	-0.098	-0.036	-0.009	0.008	0.022	0.028	-0.013
16	-0.048	0.094	0.058	0.034	0.044	0.031	0.009	-0.000	-0.020
17	0.041	0.019	0.065	0.055	0.094	-0.059	0.062	0.028	0.090
18	0.034	0.081	0.062	0.025	-0.043	-0.003	0.009	0.036	0.084
19	0.036	-0.096	-0.060	-0.098	-0.049	-0.128	-0.164	-0.078	-0.138
20	-0.082	-0.201	-0.034	0.035	0.011	-0.019	0.029	0.069	-0.035
21	0.030	-0.073	0.021	-0.003	-0.065	-0.007	-0.100	-0.066	0.029
22	0.017	-0.015	0.015	0.032	-0.079	-0.019	0.058	-0.038	0.043
23	0.072	0.093	0.059	-0.020	0.090	0.020	0.055	-0.017	-0.125
24	0.005	0.156	-0.012	-0.083	0.065	0.068	-0.048	-0.077	-0.103
25	-0.018	-0.055	-0.041	-0.001	-0.019	-0.039	0.052	0.003	-0.004
26	-0.038	-0.091	-0.025	0.078	-0.111	-0.029	-0.033	0.013	0.146
27	-0.019	-0.077	0.030	0.055	0.180	-0.123	0.021	0.129	0.077
28	-0.098	-0.041	-0.006	0.024	-0.061	0.048	-0.161	0.098	-0.165
29	-0.060	0.028	-0.096	-0.094	0.131	0.045	0.102	0.062	0.083
30	-0.153	-0.075	-0.108	-0.076	-0.101	0.110	0.052	-0.062	-0.036
31	0.288	0.209	0.267	0.212	0.191	0.005	0.155	0.272	0.332
32	-0.070	0.064	0.093	-0.026	0.037	0.007	0.046	-0.031	0.026
33	-0.115	0.021	-0.070	-0.087	-0.179	0.007	0.072	0.047	0.053
34	0.069	-0.127	-0.187	-0.019	-0.119	-0.107	-0.313	-0.348	-0.294
35	-0.020	-0.058	-0.090	-0.058	-0.160	-0.044	0.025	-0.058	-0.158
36	0.006	-0.043	-0.111	0.096	-0.013	-0.007	-0.166	-0.052	-0.041
37	0.021	0.017	0.060	-0.065	0.050	-0.005	0.187	0.012	-0.061
38	-0.004	-0.035	0.042	-0.081	0.047	-0.048	-0.149	0.004	-0.035
39	0.144	0.029	0.066	-0.046	0.053	0.031	0.002	-0.014	0.075
40	-0.107	0.042	0.058	0.141	0.020	0.057	0.115	0.088	0.135
00Y1x20Y2_dist2cax	81.369	60.886	40.554	20.077	-0.228	-20.556	-40.986	-61.372	-81.792
20Y1x00Y2_dist2cax	80.745	60.492	40.061	19.726	-0.676	-20.872	-41.354	-61.684	-82.095
