Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.087	0.047	0.009	0.028	0.015	0.007	0.058	0.073	0.148
 2	0.020	0.064	0.030	0.006	0.096	0.013	0.008	0.113	0.016
 3	0.069	0.035	0.018	0.022	0.025	0.057	0.015	0.038	0.038
 4	0.046	0.062	0.057	0.011	0.107	0.075	0.041	0.031	0.046
 5	0.043	0.009	0.060	0.056	0.018	0.001	0.016	0.074	0.015
 6	0.028	0.002	0.029	0.025	0.058	0.051	0.019	0.030	0.049
 7	0.049	0.027	0.027	0.008	0.060	0.054	0.097	0.166	0.049
 8	0.069	0.032	0.044	0.041	0.158	0.098	0.125	0.167	0.188
 9	0.092	0.074	0.000	0.035	0.015	0.018	0.036	0.008	0.080
10	0.102	0.096	0.087	0.047	0.011	0.064	0.005	0.026	0.083
11	0.050	0.153	0.055	0.027	0.017	0.102	0.097	0.018	0.160
12	0.063	0.134	0.031	0.017	0.032	0.046	0.027	0.068	0.034
13	0.020	0.030	0.044	0.084	0.100	0.045	0.037	0.015	0.021
14	0.024	0.067	0.027	0.003	0.008	0.120	0.018	0.063	0.026
15	0.062	0.020	0.071	0.049	0.010	0.047	0.025	0.053	0.002
16	0.034	0.071	0.067	0.050	0.042	0.024	0.016	0.022	0.000
17	0.007	0.006	0.072	0.044	0.075	0.076	0.021	0.021	0.061
18	0.000	0.065	0.059	0.017	0.018	0.032	0.024	0.034	0.089
19	0.005	0.118	0.086	0.111	0.075	0.152	0.127	0.059	0.145
20	0.087	0.180	0.003	0.047	0.014	0.006	0.023	0.089	0.007
21	0.039	0.072	0.011	0.017	0.070	0.006	0.111	0.043	0.032
22	0.026	0.057	0.026	0.013	0.038	0.011	0.043	0.080	0.078
23	0.082	0.158	0.055	0.003	0.072	0.005	0.062	0.059	0.128
24	0.053	0.145	0.023	0.122	0.035	0.042	0.042	0.076	0.107
25	0.062	0.044	0.038	0.094	0.038	0.044	0.032	0.026	0.009
26	0.063	0.138	0.006	0.057	0.113	0.031	0.008	0.068	0.101
27	0.017	0.076	0.024	0.039	0.154	0.134	0.012	0.125	0.062
28	0.080	0.027	0.029	0.030	0.025	0.118	0.118	0.084	0.114
29	0.072	0.000	0.100	0.060	0.088	0.029	0.090	0.082	0.066
30	0.168	0.102	0.112	0.097	0.126	0.098	0.054	0.071	0.013
31	0.289	0.212	0.348	0.190	0.185	0.043	0.171	0.254	0.336
32	0.075	0.058	0.074	0.029	0.017	0.011	0.022	0.031	0.007
33	0.103	0.022	0.076	0.089	0.176	0.019	0.048	0.070	0.044
34	0.051	0.158	0.213	0.043	0.111	0.106	0.291	0.311	0.291
35	0.009	0.032	0.089	0.044	0.129	0.041	0.036	0.036	0.180
36	0.021	0.002	0.104	0.077	0.018	0.027	0.144	0.087	0.044
37	0.006	0.025	0.050	0.042	0.049	0.038	0.166	0.004	0.051
38	0.008	0.092	0.008	0.084	0.018	0.074	0.156	0.027	0.070
39	0.135	0.029	0.059	0.069	0.075	0.040	0.008	0.026	0.086
40	0.040	0.059	0.095	0.170	0.033	0.070	0.116	0.114	0.172
00Y1x20Y2_dist2cax	81.557	61.149	40.784	20.451	0.083	-20.251	-40.724	-61.071	-81.512
20Y1x00Y2_dist2cax	81.101	60.713	40.303	20.019	-0.321	-20.604	-41.059	-61.407	-81.803
