Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	-0.040	-0.030	0.022	0.030	0.056	-0.029	0.149	0.107	0.163
 2	-0.004	-0.031	0.007	0.017	0.082	0.043	0.010	0.118	0.013
 3	0.013	0.008	0.007	-0.010	0.002	0.063	-0.060	0.025	-0.047
 4	-0.013	-0.052	-0.100	-0.027	-0.085	-0.052	-0.042	-0.056	-0.048
 5	0.010	-0.010	0.016	0.045	-0.006	-0.053	-0.014	0.040	-0.014
 6	-0.049	-0.011	0.018	-0.075	0.015	0.011	-0.062	-0.038	-0.040
 7	-0.063	0.018	-0.046	-0.081	-0.044	-0.065	-0.042	-0.183	-0.056
 8	-0.106	-0.127	-0.115	-0.101	-0.154	-0.186	-0.098	-0.197	-0.191
 9	0.026	0.047	-0.034	-0.042	-0.018	0.021	-0.022	-0.031	-0.140
10	0.039	0.062	0.048	0.125	0.025	0.089	0.031	-0.022	0.064
11	0.081	0.078	0.098	0.126	0.031	0.110	0.120	0.055	0.171
12	0.147	0.132	0.122	-0.011	0.003	0.063	-0.014	0.006	0.068
13	0.017	0.026	-0.065	-0.014	0.018	0.020	0.012	0.070	0.003
14	0.038	-0.043	0.016	-0.008	-0.024	0.016	0.019	0.079	0.086
15	0.039	-0.059	0.047	0.041	0.038	0.049	0.022	0.027	-0.024
16	-0.095	0.016	0.017	-0.002	0.040	-0.003	-0.023	-0.054	0.013
17	0.050	0.100	0.029	0.001	0.039	0.025	-0.014	0.002	0.084
18	0.065	0.064	-0.019	-0.023	-0.026	-0.057	0.032	0.006	0.051
19	-0.037	-0.159	0.003	0.003	-0.037	-0.099	-0.092	-0.009	-0.162
20	-0.167	-0.089	-0.121	-0.049	0.007	0.001	0.056	0.043	-0.013
21	-0.036	-0.087	0.052	0.004	-0.055	0.006	-0.013	-0.037	0.014
22	0.035	-0.033	0.036	0.029	-0.020	0.021	0.060	-0.076	0.089
23	0.048	0.126	0.031	-0.028	0.045	0.018	-0.012	-0.021	-0.155
24	0.180	0.087	0.009	-0.091	0.021	0.057	0.015	-0.067	-0.153
25	-0.142	0.038	-0.047	0.038	-0.047	-0.088	-0.009	-0.001	0.004
26	-0.088	-0.055	-0.047	0.066	0.009	-0.025	0.020	0.018	0.131
27	0.095	-0.110	-0.019	0.016	0.135	-0.121	-0.039	0.114	0.072
28	-0.139	0.007	-0.082	-0.001	0.035	0.114	-0.059	0.066	-0.152
29	-0.043	0.022	-0.130	-0.037	0.088	0.078	0.041	0.062	0.053
30	-0.129	-0.160	-0.054	0.029	-0.116	-0.009	-0.020	-0.012	0.019
31	0.305	0.172	0.306	0.140	0.165	-0.063	0.126	0.344	0.434
32	-0.016	0.078	0.043	-0.015	0.036	0.040	-0.050	-0.059	0.010
33	-0.045	0.004	-0.051	-0.073	-0.243	0.034	-0.059	0.007	0.058
34	-0.056	-0.205	-0.092	-0.102	-0.159	-0.166	-0.210	-0.370	-0.295
35	-0.063	0.084	-0.040	-0.101	-0.142	0.001	0.006	-0.032	-0.197
36	-0.046	-0.047	-0.023	-0.002	-0.063	-0.048	0.047	-0.088	-0.047
37	-0.031	0.034	0.006	0.039	0.081	0.114	0.108	0.046	-0.071
38	-0.029	-0.026	-0.028	-0.045	0.056	-0.029	0.020	-0.000	-0.047
39	0.100	0.020	-0.017	-0.034	0.113	-0.053	-0.033	-0.007	0.071
40	0.047	0.015	0.103	0.141	0.032	0.081	0.026	0.076	0.138
00Y1x20Y2_dist2cax	80.850	60.419	40.049	19.748	-0.699	-21.054	-41.495	-61.804	-82.183
20Y1x00Y2_dist2cax	80.591	60.176	39.784	19.480	-0.852	-21.189	-41.591	-61.887	-82.229
