Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.012	0.026	0.067	0.011	0.036	0.109	0.139	0.198	0.122
 2	-0.131	-0.104	-0.034	-0.045	0.011	0.056	0.055	0.058	0.069
 3	0.035	0.024	0.013	-0.033	-0.004	-0.011	-0.052	-0.037	-0.019
 4	-0.014	-0.039	-0.017	-0.056	-0.023	-0.036	-0.148	-0.140	-0.135
 5	0.161	0.117	0.055	0.088	0.074	0.009	0.133	0.128	0.102
 6	-0.066	-0.046	-0.001	0.034	-0.002	-0.035	-0.064	-0.022	0.024
 7	0.035	0.011	0.053	-0.026	-0.018	-0.012	0.079	0.021	-0.053
 8	-0.087	-0.044	-0.048	0.011	-0.101	-0.136	-0.148	-0.175	-0.058
 9	0.111	0.041	-0.033	0.003	-0.012	-0.067	-0.076	-0.090	-0.046
10	-0.161	-0.097	-0.178	-0.114	-0.163	-0.113	-0.216	-0.266	-0.171
11	-0.016	-0.108	-0.132	-0.086	-0.066	-0.092	0.009	-0.030	-0.126
12	0.180	0.284	0.242	0.275	0.191	0.201	0.238	0.250	0.181
13	-0.056	-0.069	-0.119	-0.020	0.051	0.035	-0.015	0.002	-0.022
14	-0.141	-0.148	-0.165	-0.131	-0.203	-0.138	-0.092	-0.076	-0.095
15	-0.066	0.030	0.024	-0.023	0.070	0.004	-0.043	-0.097	-0.011
16	0.040	0.015	0.029	-0.005	0.053	0.065	-0.019	0.003	-0.001
17	-0.007	0.005	0.068	-0.008	-0.017	0.007	0.023	-0.012	0.002
18	0.077	-0.065	-0.040	-0.021	0.006	0.048	0.050	0.075	0.006
19	-0.083	0.035	-0.019	0.003	-0.015	0.023	-0.011	0.036	0.034
20	0.038	-0.009	0.095	0.010	0.016	-0.030	0.046	0.071	0.085
21	-0.048	0.038	-0.013	0.003	0.028	-0.021	-0.021	-0.013	-0.012
22	0.114	-0.053	0.029	-0.010	-0.021	0.011	-0.014	-0.157	-0.110
23	-0.097	-0.033	-0.144	0.027	0.034	-0.068	-0.000	0.069	0.011
24	-0.095	-0.131	-0.083	-0.106	-0.109	-0.151	-0.149	-0.028	-0.106
25	-0.105	-0.097	-0.088	-0.052	0.003	-0.064	-0.034	-0.050	-0.015
26	0.068	0.096	-0.053	-0.051	-0.075	0.033	-0.082	-0.016	0.008
27	-0.050	-0.015	0.034	0.007	-0.077	-0.071	-0.011	0.056	0.000
28	0.065	0.041	0.121	0.074	0.022	0.159	0.141	0.003	0.142
29	0.112	0.026	0.146	0.059	0.017	0.038	0.122	0.003	0.011
30	-0.138	-0.067	-0.045	-0.112	0.005	-0.057	0.006	-0.026	-0.020
31	0.182	0.250	0.132	0.175	0.180	0.246	0.083	0.221	0.140
32	-0.077	-0.042	0.059	-0.033	-0.013	0.018	-0.009	-0.006	-0.046
33	-0.024	0.005	-0.028	0.030	-0.014	-0.012	0.057	-0.011	-0.084
34	0.100	0.004	0.025	0.036	0.018	0.042	0.033	0.015	0.102
35	0.019	-0.011	-0.018	0.065	-0.028	0.036	-0.031	0.059	0.011
36	-0.031	-0.061	-0.052	-0.144	-0.069	-0.050	-0.127	-0.116	0.034
37	0.016	0.011	-0.016	-0.119	0.018	-0.044	-0.021	-0.049	0.012
38	-0.007	0.026	0.008	0.026	0.034	-0.035	-0.010	0.025	-0.009
39	0.051	0.027	0.025	0.094	0.066	-0.024	-0.014	-0.031	-0.050
40	-0.178	-0.152	-0.167	-0.082	-0.147	-0.107	-0.049	-0.067	-0.138
20Y2x00Y1_dist2cax	81.422	61.123	40.581	20.435	-0.099	-20.143	-40.873	-61.155	-80.810
00Y2x20Y1_dist2cax	80.035	59.361	39.338	18.663	-1.173	-21.863	-41.984	-62.454	-82.077
