Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.839	0.161	-0.161
2	20	1.000	0.880	-0.120	-0.120
3	27	-1.500	-1.431	0.069	-0.046
4	14	-1.000	-1.138	-0.138	0.138
5	34	-0.500	-0.467	0.033	-0.066
6	18	1.500	1.418	-0.082	-0.055
7	36	-1.000	-0.982	0.018	-0.018
8	4	0.500	0.373	-0.127	-0.254
9	28	0.500	0.523	0.023	0.046
