Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.960	0.040	-0.040
2	20	1.000	0.832	-0.168	-0.168
3	27	-1.500	-1.482	0.018	-0.012
4	14	-1.000	-1.117	-0.117	0.117
5	34	-0.500	-0.438	0.062	-0.124
6	18	1.500	1.386	-0.114	-0.076
7	36	-1.000	-1.007	-0.007	0.007
8	4	0.500	0.431	-0.069	-0.138
9	28	0.500	0.627	0.127	0.254
