Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.003	0.037	0.034	0.036	0.049	0.109	0.090	0.210	0.095
 2	-0.117	-0.117	-0.004	-0.029	-0.012	0.026	0.035	0.041	0.049
 3	0.088	0.002	-0.003	-0.051	0.008	-0.012	-0.044	-0.007	0.019
 4	-0.006	-0.062	-0.029	-0.076	-0.067	-0.019	-0.092	-0.107	-0.175
 5	0.168	0.097	0.076	0.072	0.084	0.017	0.106	0.144	0.095
 6	-0.105	-0.019	-0.007	0.036	0.025	-0.037	-0.066	-0.033	0.060
 7	0.079	0.018	0.040	-0.030	0.001	-0.023	0.108	0.024	-0.064
 8	-0.139	-0.031	-0.024	0.018	-0.082	-0.135	-0.129	-0.205	-0.041
 9	0.077	0.063	-0.051	0.003	-0.017	-0.066	-0.059	-0.120	-0.070
10	-0.181	-0.096	-0.171	-0.125	-0.146	-0.120	-0.209	-0.241	-0.143
11	-0.077	-0.107	-0.138	-0.037	-0.034	-0.064	0.024	-0.100	-0.130
12	0.238	0.314	0.294	0.273	0.158	0.227	0.198	0.260	0.220
13	-0.060	-0.063	-0.107	-0.047	-0.001	0.046	-0.009	-0.020	-0.028
14	-0.152	-0.131	-0.157	-0.123	-0.216	-0.154	-0.099	-0.071	-0.093
15	-0.033	0.000	0.016	-0.049	0.064	-0.008	-0.028	-0.146	-0.004
16	0.033	-0.014	0.031	-0.004	0.051	0.061	0.009	0.054	0.020
17	0.050	0.018	0.066	-0.010	-0.028	0.018	-0.008	-0.019	-0.001
18	0.012	-0.061	-0.082	-0.029	0.002	0.046	0.031	0.090	0.024
19	-0.101	0.020	0.007	0.020	0.022	0.011	-0.000	0.039	-0.000
20	0.087	-0.010	0.075	0.020	0.022	-0.035	0.034	0.102	0.051
21	0.069	-0.045	-0.024	0.041	-0.010	-0.020	-0.017	-0.039	-0.013
22	0.079	0.014	-0.021	0.088	0.010	0.001	-0.032	-0.090	-0.106
23	-0.067	-0.060	-0.070	-0.020	0.024	-0.011	-0.030	0.075	0.028
24	-0.087	-0.074	-0.051	-0.214	-0.157	-0.113	-0.160	-0.053	-0.052
25	-0.155	0.000	-0.156	-0.047	-0.007	-0.067	-0.047	-0.016	-0.018
26	0.104	-0.054	-0.020	-0.057	-0.050	0.061	-0.076	-0.038	-0.021
27	-0.094	0.013	0.061	0.041	-0.014	-0.021	0.046	-0.029	-0.036
28	0.056	0.070	0.073	0.105	0.035	0.055	0.100	0.050	0.114
29	0.034	-0.017	0.139	0.070	0.026	0.025	0.112	-0.068	0.048
30	-0.091	-0.114	-0.006	-0.084	0.069	-0.095	0.018	0.013	-0.046
31	0.240	0.250	0.163	0.056	0.112	0.205	0.172	0.244	0.086
32	-0.203	-0.086	0.013	-0.105	-0.062	-0.077	-0.018	-0.036	-0.028
33	-0.031	0.111	-0.008	0.067	-0.001	0.020	0.047	0.051	-0.051
34	0.099	0.083	-0.042	-0.025	0.038	0.081	0.069	-0.008	0.123
35	-0.037	0.004	-0.021	0.054	-0.024	0.024	-0.074	-0.011	-0.002
36	-0.073	-0.041	-0.060	-0.080	-0.083	-0.057	-0.109	-0.082	-0.018
37	0.024	-0.028	0.026	-0.039	0.043	-0.059	0.008	0.006	0.043
38	-0.010	0.011	0.059	0.084	0.053	-0.001	0.012	0.055	0.041
39	0.095	0.039	0.038	0.085	0.012	0.029	-0.032	-0.031	-0.097
40	-0.074	-0.204	-0.216	-0.139	-0.139	-0.106	-0.112	-0.117	-0.115
20Y2x00Y1_dist2cax	81.393	61.280	40.671	20.404	0.067	-20.180	-40.702	-60.913	-80.660
00Y2x20Y1_dist2cax	79.618	59.399	39.215	18.675	-1.314	-21.907	-42.130	-62.561	-82.347
