Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.965	0.035	-0.035
2	20	1.000	0.859	-0.141	-0.141
3	27	-1.500	-1.426	0.074	-0.049
4	14	-1.000	-1.085	-0.085	0.085
5	34	-0.500	-0.410	0.090	-0.180
6	18	1.500	1.339	-0.161	-0.107
7	36	-1.000	-1.096	-0.096	0.096
8	4	0.500	0.452	-0.048	-0.096
9	28	0.500	0.629	0.129	0.258
