Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.873	0.127	-0.127
2	20	1.000	0.921	-0.079	-0.079
3	27	-1.500	-1.417	0.083	-0.055
4	14	-1.000	-1.200	-0.200	0.200
5	34	-0.500	-0.488	0.012	-0.024
6	18	1.500	1.413	-0.087	-0.058
7	36	-1.000	-0.975	0.025	-0.025
8	4	0.500	0.322	-0.178	-0.356
9	28	0.500	0.547	0.047	0.094
