Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	-0.036	0.065	0.069	-0.001	0.000	0.010	0.124	0.213	0.106
 2	-0.100	-0.017	-0.054	-0.025	0.033	0.012	0.096	0.067	0.071
 3	0.159	0.032	-0.032	0.022	-0.010	0.086	-0.044	-0.021	0.026
 4	0.044	-0.032	-0.014	-0.034	-0.014	-0.113	-0.161	-0.171	-0.176
 5	0.086	0.038	0.099	0.030	0.054	0.087	0.163	0.162	0.099
 6	-0.104	-0.128	0.041	-0.029	0.034	-0.052	-0.051	-0.018	-0.009
 7	0.061	0.097	0.016	0.092	0.064	0.011	0.101	-0.010	-0.053
 8	-0.128	-0.090	0.004	-0.043	-0.125	-0.177	-0.128	-0.143	-0.039
 9	0.010	-0.097	-0.054	0.057	-0.056	-0.047	-0.137	-0.151	-0.084
10	-0.181	-0.206	-0.116	-0.223	-0.151	-0.045	-0.257	-0.174	-0.136
11	-0.126	0.052	-0.083	-0.020	-0.070	-0.008	-0.050	-0.161	-0.121
12	0.278	0.222	0.111	0.187	0.236	0.151	0.254	0.246	0.223
13	-0.054	-0.012	-0.035	-0.031	-0.053	0.059	-0.075	0.008	0.012
14	-0.060	-0.132	-0.257	-0.137	-0.148	-0.049	-0.066	-0.033	-0.085
15	-0.025	0.018	0.049	-0.007	0.021	-0.012	-0.076	-0.116	-0.031
16	0.021	0.087	-0.061	0.039	0.001	-0.026	0.078	0.032	0.007
17	0.028	0.033	0.066	0.004	0.026	-0.020	-0.006	0.001	0.007
18	0.007	-0.004	-0.011	0.015	0.007	0.041	0.108	-0.018	-0.015
19	-0.095	-0.055	0.080	-0.088	-0.028	0.043	-0.050	0.056	0.018
20	0.071	-0.015	0.050	0.068	0.060	-0.073	0.065	0.129	0.074
21	-0.026	0.011	0.007	-0.002	-0.005	-0.022	0.007	-0.045	-0.011
22	0.151	0.109	0.036	0.133	-0.055	0.050	-0.044	-0.047	-0.081
23	-0.128	-0.074	-0.057	0.026	0.043	-0.033	-0.014	0.084	-0.000
24	-0.063	-0.145	-0.109	-0.161	-0.092	-0.109	-0.043	-0.054	-0.016
25	-0.107	-0.057	-0.043	-0.054	0.051	-0.033	-0.069	-0.009	0.013
26	0.043	0.011	-0.039	-0.077	-0.087	0.011	-0.059	-0.018	-0.064
27	-0.132	-0.077	0.009	-0.166	0.000	-0.145	-0.028	-0.050	0.010
28	0.137	0.072	0.101	0.118	0.074	0.180	0.153	-0.013	0.036
29	0.116	0.130	0.072	0.080	0.030	0.091	-0.056	0.041	0.007
30	-0.130	-0.096	-0.049	-0.035	-0.050	0.009	0.075	0.085	-0.010
31	0.079	0.129	0.162	0.091	0.182	0.092	0.137	0.142	0.100
32	-0.051	-0.065	-0.133	-0.029	-0.137	-0.038	-0.053	-0.056	-0.007
33	0.025	0.030	-0.015	0.053	-0.047	-0.152	0.015	-0.095	-0.073
34	0.012	-0.068	0.031	0.044	0.059	0.037	0.009	0.054	0.133
35	-0.013	-0.038	-0.011	0.002	-0.004	0.046	-0.015	-0.009	-0.040
36	0.018	-0.021	-0.075	-0.130	-0.094	-0.073	-0.095	-0.183	-0.023
37	0.032	0.012	-0.023	-0.083	-0.044	-0.067	0.004	-0.009	0.011
38	0.044	0.061	0.067	0.059	0.083	0.058	0.036	0.074	0.041
39	-0.003	0.055	0.053	0.131	0.047	0.037	-0.017	0.045	-0.028
40	-0.144	-0.126	-0.118	-0.123	-0.093	-0.069	-0.075	-0.058	-0.121
20Y2x00Y1_dist2cax	81.593	61.329	40.973	20.592	0.323	-19.999	-40.383	-60.654	-80.285
00Y2x20Y1_dist2cax	80.177	59.829	39.361	19.023	-1.240	-21.346	-41.798	-62.151	-81.776
