Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.948	0.052	-0.052
2	20	1.000	0.850	-0.150	-0.150
3	27	-1.500	-1.419	0.081	-0.054
4	14	-1.000	-1.108	-0.108	0.108
5	34	-0.500	-0.402	0.098	-0.196
6	18	1.500	1.389	-0.111	-0.074
7	36	-1.000	-1.012	-0.012	0.012
8	4	0.500	0.382	-0.118	-0.236
9	28	0.500	0.605	0.105	0.210
