Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.868	0.132	-0.132
2	20	1.000	0.844	-0.156	-0.156
3	27	-1.500	-1.416	0.084	-0.056
4	14	-1.000	-1.148	-0.148	0.148
5	34	-0.500	-0.446	0.054	-0.108
6	18	1.500	1.391	-0.109	-0.073
7	36	-1.000	-1.010	-0.010	0.010
8	4	0.500	0.373	-0.127	-0.254
9	28	0.500	0.550	0.050	0.100
