Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.024	0.033	0.053	0.035	0.033	0.088	0.086	0.222	0.107
 2	0.121	0.104	0.031	0.029	0.007	0.063	0.050	0.014	0.057
 3	0.051	0.016	0.007	0.019	0.022	0.001	0.032	0.027	0.039
 4	0.049	0.055	0.047	0.074	0.092	0.048	0.128	0.097	0.200
 5	0.155	0.091	0.080	0.065	0.089	0.064	0.104	0.120	0.101
 6	0.029	0.041	0.012	0.012	0.006	0.039	0.058	0.016	0.016
 7	0.043	0.038	0.032	0.049	0.008	0.009	0.073	0.012	0.086
 8	0.109	0.046	0.019	0.006	0.077	0.109	0.110	0.192	0.048
 9	0.092	0.056	0.031	0.068	0.041	0.060	0.066	0.126	0.056
10	0.215	0.082	0.166	0.136	0.088	0.165	0.171	0.246	0.121
11	0.043	0.153	0.139	0.000	0.060	0.085	0.021	0.029	0.107
12	0.227	0.288	0.244	0.191	0.214	0.142	0.212	0.267	0.226
13	0.049	0.059	0.070	0.060	0.033	0.027	0.004	0.001	0.018
14	0.110	0.098	0.126	0.144	0.210	0.135	0.083	0.076	0.070
15	0.055	0.048	0.019	0.006	0.037	0.007	0.051	0.080	0.027
16	0.041	0.027	0.011	0.021	0.017	0.063	0.003	0.048	0.003
17	0.000	0.014	0.063	0.021	0.014	0.021	0.013	0.013	0.012
18	0.037	0.068	0.060	0.020	0.005	0.033	0.058	0.063	0.009
19	0.096	0.010	0.003	0.033	0.014	0.035	0.012	0.013	0.011
20	0.069	0.003	0.052	0.024	0.006	0.008	0.025	0.065	0.062
21	0.048	0.031	0.030	0.007	0.062	0.020	0.006	0.008	0.004
22	0.097	0.001	0.052	0.049	0.016	0.005	0.034	0.111	0.098
23	0.046	0.049	0.075	0.004	0.087	0.045	0.015	0.046	0.002
24	0.071	0.097	0.080	0.141	0.136	0.094	0.175	0.085	0.043
25	0.091	0.082	0.149	0.085	0.026	0.049	0.043	0.052	0.022
26	0.034	0.039	0.029	0.032	0.071	0.040	0.061	0.050	0.031
27	0.045	0.057	0.038	0.032	0.099	0.065	0.031	0.033	0.000
28	0.114	0.006	0.101	0.113	0.088	0.123	0.108	0.071	0.080
29	0.026	0.058	0.144	0.044	0.050	0.009	0.122	0.002	0.035
30	0.099	0.022	0.036	0.078	0.030	0.046	0.010	0.003	0.028
31	0.216	0.222	0.139	0.160	0.166	0.189	0.054	0.236	0.084
32	0.097	0.155	0.040	0.078	0.053	0.009	0.008	0.021	0.009
33	0.007	0.052	0.047	0.085	0.031	0.030	0.032	0.012	0.056
34	0.057	0.036	0.056	0.023	0.043	0.040	0.037	0.017	0.097
35	0.045	0.009	0.010	0.046	0.014	0.005	0.035	0.033	0.031
36	0.034	0.082	0.048	0.109	0.067	0.048	0.111	0.124	0.010
37	0.001	0.009	0.002	0.076	0.008	0.052	0.022	0.046	0.068
38	0.029	0.005	0.007	0.043	0.046	0.022	0.056	0.059	0.045
39	0.109	0.045	0.063	0.073	0.001	0.047	0.033	0.030	0.101
40	0.133	0.155	0.144	0.126	0.127	0.118	0.113	0.055	0.124
20Y2x00Y1_dist2cax	81.383	61.245	40.622	20.212	0.296	-20.172	-40.717	-60.982	-80.742
00Y2x20Y1_dist2cax	79.824	59.488	39.265	18.694	-1.427	-21.859	-42.216	-62.385	-82.230
