Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.012	0.148	0.093	0.019	0.051	0.173	0.067	0.080	0.080
 2	0.153	0.054	0.034	0.015	0.015	0.152	0.001	0.025	0.043
 3	0.071	0.013	0.046	0.004	0.028	0.027	0.013	0.041	0.006
 4	0.020	0.025	0.008	0.045	0.059	0.023	0.094	0.382	0.190
 5	0.144	0.142	0.043	0.026	0.070	0.022	0.070	0.004	0.103
 6	0.039	0.010	0.019	0.043	0.016	0.005	0.037	0.040	0.077
 7	0.088	0.090	0.042	0.058	0.031	0.069	0.043	0.081	0.048
 8	0.115	0.018	0.034	0.030	0.091	0.186	0.086	0.170	0.021
 9	0.125	0.008	0.045	0.117	0.066	0.121	0.052	0.122	0.038
10	0.211	0.197	0.191	0.070	0.183	0.229	0.225	0.319	0.166
11	0.049	0.076	0.122	0.031	0.029	0.163	0.006	0.023	0.105
12	0.198	0.156	0.248	0.254	0.190	0.128	0.251	0.197	0.219
13	0.055	0.154	0.064	0.043	0.031	0.094	0.017	0.050	0.031
14	0.147	0.323	0.112	1.108	0.202	0.282	0.083	0.096	0.071
15	0.066	0.067	0.005	0.048	0.042	0.142	0.020	0.011	0.044
16	0.047	0.115	0.004	0.101	0.013	0.081	0.039	0.088	0.011
17	0.010	0.193	0.047	0.045	0.030	0.153	0.024	0.041	0.002
18	0.051	0.183	0.053	0.098	0.027	1.389	0.097	0.123	0.008
19	0.096	0.166	0.013	0.110	0.021	0.245	0.063	0.022	0.005
20	0.089	0.850	0.072	0.108	0.069	0.292	0.021	0.038	0.080
21	0.948	0.003	0.157	0.033	0.016	0.003	0.066	0.035	0.047
22	0.306	0.022	0.180	0.034	0.009	0.000	0.033	0.092	0.128
23	0.061	0.042	0.026	0.038	0.003	0.076	0.036	0.052	0.034
24	0.117	0.146	0.076	0.150	0.132	0.138	0.177	0.093	0.111
25	0.089	0.083	0.021	0.068	0.029	0.081	0.033	0.031	0.023
26	0.143	0.063	0.091	0.005	0.025	0.042	0.052	0.024	0.059
27	0.111	0.032	1.419	0.006	0.087	0.005	0.069	0.037	0.029
28	0.210	0.021	0.198	0.065	0.091	0.158	0.160	0.054	0.605
29	0.044	0.054	0.272	0.053	0.054	0.053	0.149	0.044	0.042
30	0.055	0.077	0.062	0.091	0.049	0.053	0.075	0.036	0.069
31	0.266	0.217	0.189	0.161	0.179	0.187	0.172	0.253	0.059
32	0.081	0.026	0.058	0.064	0.012	0.043	0.061	0.003	0.042
33	0.007	0.041	0.023	0.083	0.062	0.010	0.122	0.067	0.067
34	0.058	0.022	0.017	0.008	0.402	0.029	0.132	0.054	0.126
35	0.085	0.007	0.027	0.054	0.021	0.005	0.088	0.042	0.068
36	0.095	0.065	0.021	0.091	0.035	0.072	1.012	0.171	0.052
37	0.076	0.021	0.003	0.079	0.044	0.045	0.095	0.037	0.020
38	0.083	0.001	0.034	0.008	0.108	0.006	0.175	0.061	0.030
39	0.073	0.039	0.093	0.073	0.035	0.005	0.127	0.032	0.109
40	0.202	0.180	0.135	0.096	0.083	0.095	0.065	0.041	0.071
20Y2x00Y1_dist2cax	81.315	60.918	40.585	20.292	-0.041	-20.177	-40.473	-60.833	-80.797
00Y2x20Y1_dist2cax	79.959	59.352	39.182	18.743	-1.405	-21.708	-41.890	-62.460	-82.223
