Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.084	0.193	0.083	0.082	0.120	0.219	0.189	0.111	0.218
 2	0.047	0.029	0.010	0.009	0.038	0.125	0.045	0.033	0.091
 3	0.053	0.132	0.011	0.025	0.058	0.072	0.074	0.001	0.010
 4	0.114	0.023	0.004	0.068	0.183	0.037	0.246	0.322	0.064
 5	0.013	0.069	0.050	0.061	0.044	0.009	0.013	0.109	0.071
 6	0.027	0.055	0.014	0.060	0.030	0.041	0.045	0.025	0.050
 7	0.109	0.058	0.045	0.033	0.010	0.046	0.057	0.024	0.010
 8	0.007	0.068	0.088	0.034	0.111	0.146	0.080	0.139	0.144
 9	0.041	0.071	0.082	0.001	0.012	0.182	0.138	0.179	0.217
10	0.068	0.147	0.078	0.072	0.089	0.126	0.142	0.189	0.142
11	0.036	0.141	0.114	0.093	0.104	0.268	0.064	0.048	0.118
12	0.217	0.133	0.209	0.271	0.176	0.129	0.201	0.110	0.184
13	0.012	0.083	0.001	0.051	0.006	0.136	0.031	0.006	0.031
14	0.106	0.192	0.169	1.200	0.102	0.236	0.116	0.146	0.142
15	0.090	0.084	0.048	0.070	0.028	0.151	0.025	0.027	0.073
16	0.009	0.259	0.044	0.115	0.044	0.080	0.071	0.062	0.085
17	0.030	0.115	0.033	0.061	0.021	0.126	0.140	0.013	0.042
18	0.059	0.244	0.071	0.062	0.022	1.413	0.113	0.095	0.006
19	0.012	0.132	0.010	0.126	0.020	0.285	0.024	0.053	0.034
20	0.126	0.921	0.101	0.231	0.032	0.284	0.014	0.115	0.215
21	0.873	0.025	0.095	0.032	0.111	0.024	0.056	0.047	0.059
22	0.273	0.016	0.176	0.088	0.043	0.008	0.071	0.032	0.157
23	0.109	0.045	0.016	0.013	0.017	0.094	0.022	0.065	0.019
24	0.092	0.132	0.107	0.104	0.121	0.088	0.056	0.066	0.064
25	0.103	0.056	0.063	0.034	0.008	0.025	0.100	0.011	0.077
26	0.029	0.077	0.133	0.061	0.020	0.022	0.021	0.004	0.082
27	0.049	0.086	1.417	0.013	0.071	0.006	0.027	0.061	0.022
28	0.184	0.023	0.161	0.046	0.027	0.097	0.089	0.038	0.547
29	0.116	0.001	0.171	0.040	0.031	0.029	0.053	0.003	0.022
30	0.039	0.093	0.031	0.070	0.037	0.057	0.082	0.017	0.041
31	0.171	0.181	0.233	0.182	0.239	0.180	0.212	0.115	0.120
32	0.062	0.126	0.056	0.132	0.039	0.088	0.033	0.051	0.127
33	0.076	0.085	0.080	0.089	0.046	0.025	0.118	0.085	0.106
34	0.027	0.129	0.114	0.018	0.488	0.013	0.150	0.017	0.003
35	0.026	0.022	0.003	0.061	0.004	0.033	0.095	0.061	0.045
36	0.018	0.036	0.038	0.178	0.033	0.083	0.975	0.103	0.049
37	0.015	0.077	0.081	0.001	0.093	0.041	0.043	0.103	0.007
38	0.062	0.017	0.014	0.032	0.081	0.020	0.186	0.075	0.094
39	0.044	0.016	0.001	0.079	0.015	0.023	0.081	0.019	0.093
40	0.213	0.148	0.126	0.097	0.108	0.091	0.018	0.054	0.111
20Y2x00Y1_dist2cax	81.523	61.149	40.837	20.510	0.221	-20.182	-40.423	-60.766	-80.922
00Y2x20Y1_dist2cax	80.374	60.095	39.835	19.372	-0.869	-21.063	-41.564	-61.972	-81.923
