Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.867	0.133	-0.133
2	20	1.000	0.890	-0.110	-0.110
3	27	-1.500	-1.415	0.085	-0.057
4	14	-1.000	-1.169	-0.169	0.169
5	34	-0.500	-0.518	-0.018	0.036
6	18	1.500	1.416	-0.084	-0.056
7	36	-1.000	-0.966	0.034	-0.034
8	4	0.500	0.307	-0.193	-0.386
9	28	0.500	0.581	0.081	0.162
