Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.071	0.158	0.060	0.111	0.096	0.206	0.189	0.079	0.193
 2	-0.023	0.054	0.008	0.009	-0.023	0.140	0.039	-0.017	0.083
 3	0.079	0.113	0.023	0.003	0.030	0.084	0.078	-0.012	-0.006
 4	-0.080	-0.006	-0.001	-0.091	-0.178	-0.009	-0.273	0.331	-0.056
 5	-0.081	0.093	-0.026	0.069	0.080	-0.016	-0.004	-0.116	0.076
 6	-0.017	-0.053	-0.024	0.057	-0.005	-0.018	0.059	0.007	-0.031
 7	-0.053	-0.074	0.023	0.038	0.034	-0.086	-0.071	-0.004	0.014
 8	-0.046	-0.074	-0.077	0.059	-0.115	-0.117	-0.029	-0.121	-0.146
 9	-0.084	-0.070	-0.088	-0.007	0.015	-0.171	-0.130	-0.173	-0.204
10	-0.071	-0.131	-0.065	-0.061	-0.079	-0.098	-0.138	-0.237	-0.169
11	-0.044	-0.196	-0.118	-0.133	-0.126	-0.373	-0.076	-0.046	-0.091
12	0.274	0.189	0.240	0.276	0.201	0.121	0.207	0.122	0.178
13	-0.008	-0.085	0.005	0.018	-0.005	-0.154	0.049	-0.027	-0.012
14	-0.093	-0.160	-0.178	-1.164	-0.068	-0.256	-0.129	-0.166	-0.162
15	0.105	-0.118	0.028	0.051	0.014	-0.122	0.001	0.029	-0.077
16	0.042	-0.226	-0.056	0.121	-0.035	-0.083	0.095	0.084	0.075
17	-0.052	-0.124	0.040	0.098	0.004	-0.101	-0.123	-0.032	-0.044
18	-0.015	-0.305	-0.056	0.075	-0.030	1.458	0.108	0.102	0.010
19	-0.022	-0.087	0.033	0.104	0.042	-0.234	0.008	-0.008	0.058
20	-0.057	0.907	0.069	0.224	0.000	-0.353	0.005	0.081	0.182
21	-0.853	-0.019	0.115	-0.047	-0.107	-0.051	-0.055	-0.041	-0.057
22	0.289	0.045	0.203	0.087	0.067	-0.006	-0.063	-0.081	-0.145
23	0.096	-0.029	0.041	0.024	0.035	-0.066	0.033	0.049	0.013
24	0.077	-0.129	0.067	-0.100	-0.122	-0.098	-0.062	-0.031	-0.055
25	0.076	-0.060	0.053	-0.034	0.007	0.019	-0.087	-0.017	-0.113
26	0.037	0.092	0.102	-0.057	-0.026	0.055	-0.020	0.030	-0.054
27	0.040	0.054	-1.406	0.016	0.046	0.006	-0.017	0.055	0.053
28	0.190	-0.004	0.185	0.027	0.058	0.100	0.115	-0.020	0.531
29	0.115	-0.015	0.133	0.017	0.018	-0.017	0.037	0.023	-0.050
30	-0.021	-0.112	0.060	-0.067	0.018	-0.060	0.054	0.052	-0.029
31	0.151	0.200	0.226	0.163	0.223	0.151	0.223	0.140	0.125
32	-0.054	-0.133	-0.042	-0.130	-0.083	-0.089	-0.018	-0.121	-0.141
33	0.077	0.062	0.052	0.056	0.032	0.014	0.130	-0.084	-0.126
34	-0.040	-0.115	0.021	0.015	-0.491	-0.000	0.158	-0.030	-0.013
35	-0.012	0.004	0.061	0.011	0.010	0.071	0.082	-0.061	0.064
36	-0.015	0.044	-0.005	-0.147	0.067	-0.063	-0.956	-0.146	-0.059
37	-0.013	0.087	0.073	0.035	0.101	0.002	0.019	0.076	0.029
38	-0.067	0.029	-0.015	0.003	0.081	0.046	0.184	0.117	0.094
39	-0.051	-0.002	0.008	0.095	0.042	-0.024	0.085	0.004	-0.082
40	-0.207	-0.144	-0.090	-0.093	-0.117	-0.127	0.026	-0.059	-0.119
20Y2x00Y1_dist2cax	81.673	61.306	41.004	20.700	0.430	-20.004	-40.213	-60.609	-80.724
00Y2x20Y1_dist2cax	80.160	60.018	39.559	19.237	-1.101	-21.193	-41.838	-62.138	-81.961
