Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.853	0.147	-0.147
2	20	1.000	0.907	-0.093	-0.093
3	27	-1.500	-1.406	0.094	-0.063
4	14	-1.000	-1.164	-0.164	0.164
5	34	-0.500	-0.491	0.009	-0.018
6	18	1.500	1.458	-0.042	-0.028
7	36	-1.000	-0.956	0.044	-0.044
8	4	0.500	0.331	-0.169	-0.338
9	28	0.500	0.531	0.031	0.062
