Leaf	Picket_1	Picket_2	Picket_3	Picket_4	Picket_5	Picket_6	Picket_7	Picket_8	Picket_9
 1	0.049	0.054	0.026	0.001	0.021	0.134	0.110	0.199	0.116
 2	0.155	0.112	0.055	0.037	0.028	0.008	0.062	0.046	0.059
 3	0.093	0.035	0.088	0.021	0.049	0.055	0.048	0.056	0.019
 4	0.067	0.039	0.048	0.027	0.030	0.070	0.128	0.134	0.146
 5	0.127	0.105	0.087	0.014	0.061	0.095	0.101	0.173	0.115
 6	0.106	0.019	0.026	0.003	0.044	0.092	0.048	0.056	0.026
 7	0.134	0.053	0.042	0.023	0.044	0.005	0.131	0.040	0.064
 8	0.059	0.054	0.081	0.005	0.108	0.111	0.107	0.184	0.033
 9	0.090	0.029	0.010	0.052	0.086	0.028	0.102	0.110	0.075
10	0.246	0.100	0.159	0.129	0.228	0.135	0.205	0.215	0.158
11	0.081	0.035	0.160	0.012	0.012	0.132	0.012	0.057	0.125
12	0.224	0.225	0.283	0.236	0.241	0.149	0.171	0.266	0.201
13	0.027	0.104	0.070	0.022	0.051	0.003	0.026	0.009	0.021
14	0.138	0.143	0.102	0.111	0.158	0.044	0.104	0.037	0.073
15	0.070	0.049	0.005	0.030	0.051	0.082	0.025	0.154	0.009
16	0.065	0.002	0.022	0.027	0.036	0.033	0.035	0.021	0.004
17	0.049	0.001	0.056	0.039	0.096	0.017	0.033	0.021	0.003
18	0.007	0.010	0.077	0.010	0.038	0.026	0.070	0.075	0.008
19	0.069	0.010	0.006	0.002	0.000	0.053	0.037	0.025	0.042
20	0.113	0.022	0.088	0.025	0.071	0.075	0.014	0.086	0.061
21	0.066	0.036	0.049	0.008	0.065	0.009	0.029	0.023	0.006
22	0.154	0.038	0.026	0.017	0.008	0.009	0.027	0.128	0.120
23	0.100	0.064	0.053	0.026	0.049	0.097	0.030	0.072	0.005
24	0.117	0.066	0.067	0.103	0.161	0.140	0.130	0.062	0.083
25	0.043	0.036	0.180	0.032	0.024	0.017	0.061	0.045	0.027
26	0.101	0.073	0.067	0.055	0.020	0.053	0.137	0.002	0.017
27	0.024	0.037	0.025	0.016	0.057	0.035	0.005	0.052	0.004
28	0.079	0.080	0.064	0.097	0.082	0.115	0.136	0.012	0.125
29	0.066	0.047	0.225	0.027	0.050	0.045	0.109	0.006	0.002
30	0.023	0.036	0.011	0.117	0.028	0.035	0.036	0.009	0.052
31	0.218	0.222	0.156	0.132	0.157	0.202	0.173	0.199	0.124
32	0.097	0.187	0.038	0.096	0.044	0.036	0.057	0.042	0.022
33	0.012	0.059	0.055	0.017	0.102	0.050	0.028	0.026	0.022
34	0.046	0.000	0.041	0.016	0.007	0.091	0.028	0.031	0.061
35	0.052	0.003	0.017	0.084	0.012	0.046	0.015	0.016	0.012
36	0.007	0.052	0.064	0.134	0.052	0.035	0.089	0.112	0.015
37	0.012	0.012	0.013	0.110	0.024	0.023	0.037	0.055	0.038
38	0.007	0.017	0.005	0.073	0.059	0.010	0.031	0.079	0.020
39	0.056	0.061	0.027	0.071	0.013	0.022	0.032	0.035	0.067
40	0.227	0.155	0.169	0.052	0.141	0.070	0.098	0.071	0.161
20Y2x00Y1_dist2cax	81.177	61.097	40.738	19.825	-0.174	-20.532	-40.894	-61.114	-80.711
00Y2x20Y1_dist2cax	79.827	59.442	39.127	18.807	-1.365	-21.692	-42.073	-62.406	-82.498
