Picket	Par MLC	Erro esperado (mm)	Erro medido (mm)	Dif. abs. (mm)	Dif. rel.
1	21	-1.000	-0.930	0.070	-0.070
2	20	1.000	0.868	-0.132	-0.132
3	27	-1.500	-1.443	0.057	-0.038
4	14	-1.000	-1.122	-0.122	0.122
5	34	-0.500	-0.443	0.057	-0.114
6	18	1.500	1.371	-0.129	-0.086
7	36	-1.000	-1.033	-0.033	0.033
8	4	0.500	0.385	-0.115	-0.230
9	28	0.500	0.623	0.123	0.246
